year,zip3,state_name,state_id,season,numDonor,pWNV,pZIKV,donorGroup
2017,048,Maine,ME,H,628.696770724335,0,0,ME-048-2017-H
2017,048,Maine,ME,L,628.696770724335,0,0,ME-048-2017-L
2017,049,Maine,ME,H,2540.18083222007,0,0,ME-049-2017-H
2017,049,Maine,ME,L,2540.18083222007,0,0,ME-049-2017-L
2017,050,Vermont,VT,H,962.833812644697,0,0,VT-050-2017-H
2017,050,Vermont,VT,L,962.833812644697,0,0,VT-050-2017-L
2017,051,Vermont,VT,H,464.429413824787,0,0,VT-051-2017-H
2017,051,Vermont,VT,L,464.429413824787,0,0,VT-051-2017-L
2017,052,Vermont,VT,H,524.517274123321,0,0,VT-052-2017-H
2017,052,Vermont,VT,L,524.517274123321,0,0,VT-052-2017-L
2017,053,Vermont,VT,H,584.997455264754,0,0,VT-053-2017-H
2017,053,Vermont,VT,L,584.997455264754,0,0,VT-053-2017-L
2017,054,Vermont,VT,H,3671.0873625169,0,0,VT-054-2017-H
2017,054,Vermont,VT,L,3671.0873625169,0,0,VT-054-2017-L
2017,056,Vermont,VT,H,1338.94395831588,0,0,VT-056-2017-H
2017,056,Vermont,VT,L,1338.94395831588,0,0,VT-056-2017-L
2017,057,Vermont,VT,H,1294.47046756476,0,0,VT-057-2017-H
2017,057,Vermont,VT,L,1294.47046756476,0,0,VT-057-2017-L
2017,058,Vermont,VT,H,923.052479174657,0,0,VT-058-2017-H
2017,058,Vermont,VT,L,923.052479174657,0,0,VT-058-2017-L
2017,059,Vermont,VT,H,55.3172388488722,0,0,VT-059-2017-H
2017,059,Vermont,VT,L,55.3172388488722,0,0,VT-059-2017-L
2017,060,Connecticut,CT,H,10583.5455749281,0,0,CT-060-2017-H
2017,060,Connecticut,CT,L,10583.5455749281,0,0,CT-060-2017-L
2017,061,Connecticut,CT,H,4663.69200926264,0,0,CT-061-2017-H
2017,061,Connecticut,CT,L,4663.69200926264,0,0,CT-061-2017-L
2017,062,Connecticut,CT,H,2631.5928898043,0,0,CT-062-2017-H
2017,062,Connecticut,CT,L,2631.5928898043,0,0,CT-062-2017-L
2017,063,Connecticut,CT,H,4225.32643995891,0,0,CT-063-2017-H
2017,063,Connecticut,CT,L,4225.32643995891,0,0,CT-063-2017-L
2017,064,Connecticut,CT,H,11301.5700742148,0,0,CT-064-2017-H
2017,064,Connecticut,CT,L,11301.5700742148,0,0,CT-064-2017-L
2017,065,Connecticut,CT,H,4557.37915991683,0,0,CT-065-2017-H
2017,065,Connecticut,CT,L,4557.37915991683,0,0,CT-065-2017-L
2017,066,Connecticut,CT,H,3760.04065203663,0,0,CT-066-2017-H
2017,066,Connecticut,CT,L,3760.04065203663,0,0,CT-066-2017-L
2017,067,Connecticut,CT,H,5242.63395382913,0,0,CT-067-2017-H
2017,067,Connecticut,CT,L,5242.63395382913,0,0,CT-067-2017-L
2017,068,Connecticut,CT,H,7312.53459522614,0,0,CT-068-2017-H
2017,068,Connecticut,CT,L,7312.53459522614,0,0,CT-068-2017-L
2017,069,Connecticut,CT,H,1926.02213651397,0,0,CT-069-2017-H
2017,069,Connecticut,CT,L,1926.02213651397,0,0,CT-069-2017-L
2017,070,New Jersey,NJ,H,26758.6624235329,0,0,NJ-070-2017-H
2017,070,New Jersey,NJ,L,26758.6624235329,0,0,NJ-070-2017-L
2017,071,New Jersey,NJ,H,6285.48815067826,0,0,NJ-071-2017-H
2017,071,New Jersey,NJ,L,6285.48815067826,0,0,NJ-071-2017-L
2017,072,New Jersey,NJ,H,2873.05400686004,0,0,NJ-072-2017-H
2017,072,New Jersey,NJ,L,2873.05400686004,0,0,NJ-072-2017-L
2017,073,New Jersey,NJ,H,3934.59951378482,0,0,NJ-073-2017-H
2017,073,New Jersey,NJ,L,3934.59951378482,0,0,NJ-073-2017-L
2017,074,New Jersey,NJ,H,7328.96053657863,0,0,NJ-074-2017-H
2017,074,New Jersey,NJ,L,7328.96053657863,0,0,NJ-074-2017-L
2017,075,New Jersey,NJ,H,3153.56092569719,0,0,NJ-075-2017-H
2017,075,New Jersey,NJ,L,3153.56092569719,0,0,NJ-075-2017-L
2017,076,New Jersey,NJ,H,7820.638442935,0,0,NJ-076-2017-H
2017,076,New Jersey,NJ,L,7820.638442935,0,0,NJ-076-2017-L
2017,077,New Jersey,NJ,H,9556.26208819079,0,0,NJ-077-2017-H
2017,077,New Jersey,NJ,L,9556.26208819079,0,0,NJ-077-2017-L
2017,078,New Jersey,NJ,H,5732.50151275534,0,8.72219569218523e-06,NJ-078-2017-H
2017,078,New Jersey,NJ,L,5732.50151275534,0,0,NJ-078-2017-L
2017,079,New Jersey,NJ,H,4071.44340023969,0,0,NJ-079-2017-H
2017,079,New Jersey,NJ,L,4071.44340023969,0,0,NJ-079-2017-L
2017,080,New Jersey,NJ,H,18476.4361517255,0,0,NJ-080-2017-H
2017,080,New Jersey,NJ,L,18476.4361517255,0,0,NJ-080-2017-L
2017,081,New Jersey,NJ,H,2522.47996623254,0,0,NJ-081-2017-H
2017,081,New Jersey,NJ,L,2522.47996623254,0,0,NJ-081-2017-L
2017,082,New Jersey,NJ,H,4005.31834882231,0,0,NJ-082-2017-H
2017,082,New Jersey,NJ,L,4005.31834882231,0,0,NJ-082-2017-L
2017,083,New Jersey,NJ,H,3850.44902767818,0,0,NJ-083-2017-H
2017,083,New Jersey,NJ,L,3850.44902767818,0,0,NJ-083-2017-L
2017,084,New Jersey,NJ,H,914.862339982569,0,0,NJ-084-2017-H
2017,084,New Jersey,NJ,L,914.862339982569,0,0,NJ-084-2017-L
2017,085,New Jersey,NJ,H,4930.21071463285,0,0,NJ-085-2017-H
2017,085,New Jersey,NJ,L,4930.21071463285,0,0,NJ-085-2017-L
2017,086,New Jersey,NJ,H,4293.35970861423,0,1.16458911885905e-05,NJ-086-2017-H
2017,086,New Jersey,NJ,L,4293.35970861423,0,0,NJ-086-2017-L
2017,087,New Jersey,NJ,H,7214.30669141671,0,6.93067291684286e-06,NJ-087-2017-H
2017,087,New Jersey,NJ,L,7214.30669141671,0,0,NJ-087-2017-L
2017,088,New Jersey,NJ,H,14274.2845068211,0,0,NJ-088-2017-H
2017,088,New Jersey,NJ,L,14274.2845068211,0,0,NJ-088-2017-L
2017,089,New Jersey,NJ,H,1754.18952507682,0,0,NJ-089-2017-H
2017,089,New Jersey,NJ,L,1754.18952507682,0,0,NJ-089-2017-L
2017,100,New York,NY,H,23889.14035097,0,4.18600244842799e-06,NY-100-2017-H
2017,100,New York,NY,L,23889.14035097,0,0,NY-100-2017-L
2017,101,New York,NY,H,989.717283760329,0,0,NY-101-2017-H
2017,101,New York,NY,L,989.717283760329,0,0,NY-101-2017-L
2017,102,New York,NY,H,200.907139146567,0,0,NY-102-2017-H
2017,102,New York,NY,L,200.907139146567,0,0,NY-102-2017-L
2017,103,New York,NY,H,7452.61184964945,0,0,NY-103-2017-H
2017,103,New York,NY,L,7452.61184964945,0,0,NY-103-2017-L
2017,104,New York,NY,H,21980.8564203345,0,0,NY-104-2017-H
2017,104,New York,NY,L,21980.8564203345,0,0,NY-104-2017-L
2017,105,New York,NY,H,10271.3218403254,0,0,NY-105-2017-H
2017,105,New York,NY,L,10271.3218403254,0,0,NY-105-2017-L
