year,policy,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
2017,No intervention,218658236.951325,10327046,0,0,12117316.951325,1.97055382536304e-06,3.03794901423761e-05
2017,Universal MP-NAT,331112786.157728,10326727.9929561,123924552,0,599920.114264735,3.94076224200143e-08,1.51823994014015e-06
2018,No intervention,221447518.340263,10327046,0,0,14906598.3402629,2.64206901101442e-07,3.79262363874472e-05
2018,Universal MP-NAT,331265356.362222,10326671.2227864,123924552,0,744532.728045178,5.28402801210873e-09,1.89417605725405e-06
2019,No intervention,211688682.928128,10327046,0,0,5147762.92812834,0,1.31206277383879e-05
2019,Universal MP-NAT,330742088.34465,10326917.2568863,123924552,0,257388.146406417,0,6.55827327147302e-07
