p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
1e-06,1e-06,1,1,0,0,0,0,0,20.012125093044,1,0,0,0.012125093044,1e-06,1e-06
1.13585908787189e-06,1e-06,1,1,0,0,0,0,0,20.0124498658375,1,0,0,0.0124498658374527,1.13585908787189e-06,1e-06
1.29017586750115e-06,1e-06,1,1,0,0,0,0,0,20.0128187619664,1,0,0,0.0128187619663895,1.29017586750115e-06,1e-06
1.46545798405418e-06,1e-06,1,1,0,0,0,0,0,20.0132377759869,1,0,0,0.0132377759869231,1.46545798405418e-06,1e-06
1.66455376908235e-06,1e-06,1,1,0,0,0,0,0,20.0137137168701,1,0,0,0.013713716870092,1.66455376908235e-06,1e-06
1.89069852586359e-06,1e-06,1,1,0,0,0,0,0,20.0142543186475,1,0,0,0.0142543186475291,1.89069852586359e-06,1e-06
2.14756710302813e-06,1e-06,1,1,0,0,0,0,0,20.0148683660894,1,0,0,0.0148683660893507,2.14756710302813e-06,1e-06
2.4393336107892e-06,1e-06,1,1,0,0,0,0,0,20.0155658374565,1,0,0,0.0155658374565283,2.4393336107892e-06,1e-06
2.77073925016626e-06,1e-06,1,1,0,0,0,0,0,20.0163580666475,1,0,0,0.0163580666474674,2.77073925016626e-06,1e-06
3.14716935742468e-06,1e-06,1,1,0,0,0,0,0,20.0172579273737,1,0,0,0.0172579273736729,3.14716935742468e-06,1e-06
3.57474091570274e-06,1e-06,1,1,0,0,0,0,0,20.0182800423574,1,0,0,0.0182800423573525,3.57474091570274e-06,1e-06
4.06040195588842e-06,1e-06,1,1,0,0,0,0,0,20.0194410209504,1,0,0,0.0194410209504149,4.06040195588842e-06,1e-06
4.61204446200864e-06,1e-06,1,1,0,0,0,0,0,20.0207597290362,1,0,0,0.0207597290361697,4.61204446200864e-06,1e-06
5.23863261584172e-06,1e-06,1,1,0,0,0,0,0,20.0222575955996,1,0,0,0.0222575955996243,5.23863261584172e-06,1e-06
5.95034846472589e-06,1e-06,1,1,0,0,0,0,0,20.0239589609481,1,0,0,0.0239589609481437,5.95034846472589e-06,1e-06
6.75875737966343e-06,1e-06,1,1,0,0,0,0,0,20.025891472241,1,0,0,0.0258914722410497,6.75875737966343e-06,1e-06
7.67699599241187e-06,1e-06,1,1,0,0,0,0,0,20.0280865327555,1,0,0,0.0280865327555121,7.67699599241187e-06,1e-06
8.71998566553707e-06,1e-06,1,1,0,0,0,0,0,20.0305798121893,1,0,0,0.0305798121892929,8.71998566553707e-06,1e-06
9.90467496431285e-06,1e-06,1,1,0,0,0,0,0,20.0334118262928,1,0,0,0.0334118262927569,9.90467496431285e-06,1e-06
1.12503150706319e-05,1e-06,1,1,0,0,0,0,0,20.0366285952492,1,0,0,0.0366285952491579,1.12503150706319e-05,1e-06
1.27787726143993e-05,1e-06,1,1,0,0,0,0,0,20.0402823915019,1,0,0,0.0402823915018701,1.27787726143993e-05,1e-06
1.45148850059138e-05,1e-06,1,1,0,0,0,0,0,20.0444325891807,1,0,0,0.0444325891807455,1.45148850059138e-05,1e-06
1.64868640433825e-05,1e-06,1,1,0,0,0,0,0,20.0491466289308,1,0,0,0.0491466289307609,1.64868640433825e-05,1e-06
1.87267543541843e-05,1e-06,1,1,0,0,0,0,0,20.0545011138214,1,0,0,0.0545011138214052,1.87267543541843e-05,1e-06
2.12709541195446e-05,1e-06,1,1,0,0,0,0,0,20.0605830541453,1,0,0,0.0605830541453162,2.12709541195446e-05,1e-06
2.41608065443907e-05,1e-06,1,1,0,0,0,0,0,20.0674912813341,1,0,0,0.0674912813341251,2.41608065443907e-05,1e-06
2.74432716837607e-05,1e-06,1,1,0,0,0,0,0,20.0753380539676,1,0,0,0.0753380539676173,2.74432716837607e-05,1e-06
3.11716895429367e-05,1e-06,1,1,0,0,0,0,0,20.0842508819738,1,0,0,0.0842508819738337,3.11716895429367e-05,1e-06
3.54066468516657e-05,1e-06,1,1,0,0,0,0,0,20.0943745986633,1,0,0,0.0943745986633338,3.54066468516657e-05,1e-06
4.0216961597535e-05,1e-06,1,1,0,0,0,0,0,20.1058737142681,1,0,0,0.105873714268143,4.0216961597535e-05,1e-06
4.56808013171547e-05,1e-06,1,1,0,0,0,0,0,20.1189350892304,1,0,0,0.118935089230354,4.56808013171547e-05,1e-06
5.18869533173602e-05,1e-06,1,1,0,0,0,0,0,20.1337709706813,1,0,0,0.133770970681285,5.18869533173602e-05,1e-06
5.89362674675079e-05,1e-06,1,1,0,0,0,0,0,20.1506224414539,1,0,0,0.150622441453914,5.89362674675079e-05,1e-06
