year,policy,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
2019,No intervention,210348296.128623,10327045.9996,0,0,3807376.13662286,4.84165449846776e-08,9.69183584631547e-06
2019,Universal MP-NAT,330670019.470853,10326950.4053149,123924551.9952,0,190222.720050796,9.68331081398455e-10,4.84559630341902e-07
2018,No intervention,220703024.916927,10327046,0,0,14162104.916927,2.90499443528487e-07,3.60219300916403e-05
2018,Universal MP-NAT,331225837.91518,10326689.6392437,123924552,0,707228.724640369,5.80998655656017e-09,1.80035090851992e-06
2017,No intervention,216958336.511352,10327045.9996,0,0,10417416.5193517,3.09865996315816e-06,2.57575916656098e-05
2017,Universal MP-NAT,331019541.239907,10326761.9193167,123924551.9952,0,511521.268754194,6.1960466769072e-08,1.28775543569864e-06
