p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
1e-06,1e-06,1,1,0,0,0,0,0,20.047730738244,1,0,0,0.047730738244,1e-06,1e-06
1.13585908787189e-06,1e-06,1,1,0,0,0,0,0,20.0490538863397,1,0,0,0.0490538863397339,1.13585908787189e-06,1e-06
1.29017586750115e-06,1e-06,1,1,0,0,0,0,0,20.0505567961289,1,0,0,0.0505567961288737,1.29017586750115e-06,1e-06
1.46545798405418e-06,1e-06,1,1,0,0,0,0,0,20.0522638898711,1,0,0,0.0522638898711197,1.46545798405418e-06,1e-06
1.66455376908235e-06,1e-06,1,1,0,0,0,0,0,20.0542029078121,1,0,0,0.0542029078120991,1.66455376908235e-06,1e-06
1.89069852586359e-06,1e-06,1,1,0,0,0,0,0,20.0564053589619,1,0,0,0.0564053589619071,1.89069852586359e-06,1e-06
2.14756710302813e-06,1e-06,1,1,0,0,0,0,0,20.058907033116,1,0,0,0.0589070331160105,2.14756710302813e-06,1e-06
2.4393336107892e-06,1e-06,1,1,0,0,0,0,0,20.0617485824388,1,0,0,0.061748582438843,2.4393336107892e-06,1e-06
2.77073925016626e-06,1e-06,1,1,0,0,0,0,0,20.0649761820608,1,0,0,0.0649761820608185,2.77073925016626e-06,1e-06
3.14716935742468e-06,1e-06,1,1,0,0,0,0,0,20.0686422804235,1,0,0,0.0686422804234512,3.14716935742468e-06,1e-06
3.57474091570274e-06,1e-06,1,1,0,0,0,0,0,20.0728064515657,1,0,0,0.0728064515656798,3.57474091570274e-06,1e-06
4.06040195588842e-06,1e-06,1,1,0,0,0,0,0,20.077536363201,1,0,0,0.077536363201034,4.06040195588842e-06,1e-06
4.61204446200864e-06,1e-06,1,1,0,0,0,0,0,20.0829088763169,1,0,0,0.0829088763168821,4.61204446200864e-06,1e-06
5.23863261584172e-06,1e-06,1,1,0,0,0,0,0,20.0890112941642,1,0,0,0.089011294164229,5.23863261584172e-06,1e-06
5.95034846472589e-06,1e-06,1,1,0,0,0,0,0,20.0959427809341,1,0,0,0.0959427809341297,5.95034846472589e-06,1e-06
6.75875737966343e-06,1e-06,1,1,0,0,0,0,0,20.1038159731742,1,0,0,0.103815973174185,6.75875737966343e-06,1e-06
7.67699599241187e-06,1e-06,1,1,0,0,0,0,0,20.1127588101306,1,0,0,0.112758810130614,7.67699599241187e-06,1e-06
8.71998566553707e-06,1e-06,1,1,0,0,0,0,0,20.1229166127589,1,0,0,0.122916612758931,8.71998566553707e-06,1e-06
9.90467496431285e-06,1e-06,1,1,0,0,0,0,0,20.1344544451871,1,0,0,0.134454445187114,9.90467496431285e-06,1e-06
1.12503150706319e-05,1e-06,1,1,0,0,0,0,0,20.147559797005,1,0,0,0.147559797005008,1.12503150706319e-05,1e-06
1.27787726143993e-05,1e-06,1,1,0,0,0,0,0,20.1624456299671,1,0,0,0.162445629967121,1.27787726143993e-05,1e-06
1.45148850059138e-05,1e-06,1,1,0,0,0,0,0,20.1793538386177,1,0,0,0.17935383861768,1.45148850059138e-05,1e-06
