group,year,z,a1,a2,a3,a4,m1
NC-H-2018,2018,250,0,0,0,0,0
ND-H-2018,2018,250,0,0,114,136,0
OH-H-2018,2018,250,0,0,0,0,0
OK-H-2018,2018,250,0,0,0,0,0
OR-H-2018,2018,250,0,0,0,0,0
PA-H-2018,2018,250,0,0,0,3,0
RI-H-2018,2018,250,0,0,0,0,0
SC-H-2018,2018,250,0,0,0,0,0
SD-H-2018,2018,250,0,0,67,183,0
TN-H-2018,2018,250,0,0,0,0,0
TX-H-2018,2018,250,0,0,0,0,0
UT-H-2018,2018,250,0,0,0,0,0
VT-H-2018,2018,250,0,0,0,0,0
VA-H-2018,2018,250,0,0,0,0,0
WA-H-2018,2018,250,0,0,0,0,0
WV-H-2018,2018,250,0,0,0,0,0
WI-H-2018,2018,250,0,0,0,0,0
WY-H-2018,2018,250,0,0,0,0,0
PR-H-2018,2018,250,0,0,0,0,0
AL-L-2018,2018,250,0,0,0,0,0
AK-L-2018,2018,250,0,0,0,0,0
AZ-L-2018,2018,250,0,0,0,0,0
AR-L-2018,2018,250,0,0,0,0,0
CA-L-2018,2018,250,0,0,0,0,0
CO-L-2018,2018,250,0,0,0,0,0
CT-L-2018,2018,250,0,0,0,0,0
DE-L-2018,2018,250,0,0,0,0,0
DC-L-2018,2018,250,0,0,0,0,0
FL-L-2018,2018,250,0,0,0,0,0
GA-L-2018,2018,250,0,0,0,0,0
HI-L-2018,2018,250,0,0,0,0,0
ID-L-2018,2018,250,0,0,0,0,0
IL-L-2018,2018,250,0,0,0,0,0
IN-L-2018,2018,250,0,0,0,0,0
IA-L-2018,2018,250,0,0,0,0,0
KS-L-2018,2018,250,0,0,0,0,0
KY-L-2018,2018,250,0,0,0,0,0
LA-L-2018,2018,250,0,0,0,0,0
ME-L-2018,2018,250,0,0,0,0,0
MD-L-2018,2018,250,0,0,0,0,0
MA-L-2018,2018,250,0,0,0,0,0
MI-L-2018,2018,250,0,0,0,0,0
MN-L-2018,2018,250,0,0,0,0,0
MS-L-2018,2018,250,0,0,0,0,0
MO-L-2018,2018,250,0,0,0,0,0
MT-L-2018,2018,250,0,0,0,0,0
NE-L-2018,2018,250,0,0,0,0,0
NV-L-2018,2018,250,0,0,0,0,0
NH-L-2018,2018,250,0,0,0,0,0
NJ-L-2018,2018,250,0,0,0,0,0
NM-L-2018,2018,250,0,0,0,0,0
NY-L-2018,2018,250,0,0,0,0,0
NC-L-2018,2018,250,0,0,0,0,0
ND-L-2018,2018,250,0,0,0,0,0
OH-L-2018,2018,250,0,0,0,0,0
OK-L-2018,2018,250,0,0,0,0,0
OR-L-2018,2018,250,0,0,0,0,0
PA-L-2018,2018,250,0,0,0,0,0
