p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2
1e-06,1e-06,1,1,0,0,0,0,0,20.403787190244,1,0,0,0.403787190244,1e-06,1e-06
1.13585908787189e-06,1e-06,1,1,0,0,0,0,0,20.4150940913625,1,0,0,0.415094091362546,1.13585908787189e-06,1e-06
1.29017586750115e-06,1e-06,1,1,0,0,0,0,0,20.4279371377537,1,0,0,0.427937137753716,1.29017586750115e-06,1e-06
1.46545798405418e-06,1e-06,1,1,0,0,0,0,0,20.4425250287131,1,0,0,0.442525028713086,1.46545798405418e-06,1e-06
1.66455376908235e-06,1e-06,1,1,0,0,0,0,0,20.4590948172322,1,0,0,0.45909481723217,1.66455376908235e-06,1e-06
1.89069852586359e-06,1e-06,1,1,0,0,0,0,0,20.4779157621057,1,0,0,0.477915762105688,1.89069852586359e-06,1e-06
2.14756710302813e-06,1e-06,1,1,0,0,0,0,0,20.4992937033826,1,0,0,0.499293703382608,2.14756710302813e-06,1e-06
2.4393336107892e-06,1e-06,1,1,0,0,0,0,0,20.523576032262,1,0,0,0.52357603226199,2.4393336107892e-06,1e-06
2.77073925016626e-06,1e-06,1,1,0,0,0,0,0,20.5511573361943,1,0,0,0.55115733619433,2.77073925016626e-06,1e-06
3.14716935742468e-06,1e-06,1,1,0,0,0,0,0,20.5824858109212,1,0,0,0.582485810921234,3.14716935742468e-06,1e-06
3.57474091570274e-06,1e-06,1,1,0,0,0,0,0,20.618070543649,1,0,0,0.618070543648953,3.57474091570274e-06,1e-06
4.06040195588842e-06,1e-06,1,1,0,0,0,0,0,20.6584897857072,1,0,0,0.658489785707225,4.06040195588842e-06,1e-06
4.61204446200864e-06,1e-06,1,1,0,0,0,0,0,20.704400349124,1,0,0,0.704400349124007,4.61204446200864e-06,1e-06
5.23863261584172e-06,1e-06,1,1,0,0,0,0,0,20.7565482798103,1,0,0,0.756548279810277,5.23863261584172e-06,1e-06
5.95034846472589e-06,1e-06,1,1,0,0,0,0,0,20.815780980794,1,0,0,0.81578098079399,5.95034846472589e-06,1e-06
6.75875737966343e-06,1e-06,1,1,0,0,0,0,0,20.8830609825055,1,0,0,0.883060982505539,6.75875737966343e-06,1e-06
7.67699599241187e-06,1e-06,1,1,0,0,0,0,0,20.9594815838816,1,0,0,0.959481583881637,7.67699599241187e-06,1e-06
8.71998566553707e-06,1e-06,1,1,0,0,0,0,0,21.0462846184553,1,0,0,1.04628461845531,8.71998566553707e-06,1e-06
9.90467496431285e-06,1e-06,1,1,0,0,0,0,0,21.1448806341307,1,0,0,1.14488063413068,9.90467496431285e-06,1e-06
1.12503150706319e-05,1e-06,1,1,0,0,0,0,0,21.2568718145635,1,0,0,1.2568718145635,1.12503150706319e-05,1e-06
1.27787726143993e-05,1e-06,1,1,0,0,0,0,0,21.3840780146196,1,0,0,1.38407801461963,1.27787726143993e-05,1e-06
1.45148850059138e-05,1e-06,1,1,0,0,0,0,0,21.528566332987,1,0,0,1.52856633298703,1.45148850059138e-05,1e-06
1.64868640433825e-05,1e-06,1,1,0,0,0,0,0,21.692684702496,1,0,0,1.69268470249596,1.64868640433825e-05,1e-06
1.87267543541843e-05,1e-06,1,1,0,0,0,0,0,21.8791000439894,1,0,0,1.8791000439894,1.87267543541843e-05,1e-06
2.12709541195446e-05,1e-06,1,1,0,0,0,0,0,22.0908416037435,1,0,0,2.09084160374346,2.12709541195446e-05,1e-06
2.41608065443907e-05,1e-06,1,1,0,0,0,0,0,22.3313501786703,1,0,0,2.33135017867029,2.41608065443907e-05,1e-06
2.74432716837607e-05,1e-06,1,1,0,0,0,0,0,22.604534029212,1,0,0,2.60453402921204,2.74432716837607e-05,1e-06
3.11716895429367e-05,1e-06,1,1,0,0,0,0,0,22.9148323885097,1,0,0,2.91483238850971,3.11716895429367e-05,1e-06
3.54066468516657e-05,1e-06,1,1,0,0,0,0,0,23.2672875998697,1,0,0,3.26728759986972,3.54066468516657e-05,1e-06
4.0216961597535e-05,1e-06,1,1,0,0,0,0,0,23.6676270547608,1,0,0,3.66762705476078,4.0216961597535e-05,1e-06
4.56808013171547e-05,1e-06,1,1,0,0,0,0,0,24.1223562628325,1,0,0,4.12235626283248,4.56808013171547e-05,1e-06
5.18869533173602e-05,1e-06,1,1,0,0,0,0,0,24.6388645663415,1,0,0,4.6388645663415,5.18869533173602e-05,1e-06
5.89362674675079e-05,1e-06,1,1,0,0,0,0,0,25.2255452168435,1,0,0,5.22554521684351,5.89362674675079e-05,1e-06
