group,year,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,downsteam_NMC,resid_risk1,resid_risk2,season
NH-031-2017-H,2017,0,0,2389.87332555526,1,0,0,0,0,0,47797.4665111052,2389.87332555526,0,0,0,0,0,H
NH-031-2017-L,2017,0,0,2389.87332555526,1,0,0,0,0,0,47797.4665111052,2389.87332555526,0,0,0,0,0,L
NH-032-2017-H,2017,0,0,3026.90968304414,1,0,0,0,0,0,60538.1936608828,3026.90968304414,0,0,0,0,0,H
NH-032-2017-L,2017,0,0,3026.90968304414,1,0,0,0,0,0,60538.1936608828,3026.90968304414,0,0,0,0,0,L
NH-033-2017-H,2017,0,0,989.160367400779,1,0,0,0,0,0,19783.2073480156,989.160367400779,0,0,0,0,0,H
NH-033-2017-L,2017,0,0,989.160367400779,1,0,0,0,0,0,19783.2073480156,989.160367400779,0,0,0,0,0,L
NH-034-2017-H,2017,0,0,1352.27415283711,1,0,0,0,0,0,27045.4830567422,1352.27415283711,0,0,0,0,0,H
NH-034-2017-L,2017,0,0,1352.27415283711,1,0,0,0,0,0,27045.4830567422,1352.27415283711,0,0,0,0,0,L
NH-035-2017-H,2017,0,0,742.180470827484,1,0,0,0,0,0,14843.6094165497,742.180470827484,0,0,0,0,0,H
NH-035-2017-L,2017,0,0,742.180470827484,1,0,0,0,0,0,14843.6094165497,742.180470827484,0,0,0,0,0,L
NH-036-2017-H,2017,0,0,221.713081291314,1,0,0,0,0,0,4434.26162582628,221.713081291314,0,0,0,0,0,H
NH-036-2017-L,2017,0,0,221.713081291314,1,0,0,0,0,0,4434.26162582628,221.713081291314,0,0,0,0,0,L
NH-037-2017-H,2017,0,0,1248.0646538393,1,0,0,0,0,0,24961.293076786,1248.0646538393,0,0,0,0,0,H
NH-037-2017-L,2017,0,0,1248.0646538393,1,0,0,0,0,0,24961.293076786,1248.0646538393,0,0,0,0,0,L
NH-038-2017-H,2017,0,0,5161.32712679758,1,0,0,0,0,0,103226.542535952,5161.32712679758,0,0,0,0,0,H
NH-038-2017-L,2017,0,0,5161.32712679758,1,0,0,0,0,0,103226.542535952,5161.32712679758,0,0,0,0,0,L
ME-039-2017-H,2017,0,0,762.302340434139,1,0,0,0,0,0,15246.0468086828,762.302340434139,0,0,0,0,0,H
ME-039-2017-L,2017,0,0,762.302340434139,1,0,0,0,0,0,15246.0468086828,762.302340434139,0,0,0,0,0,L
ME-040-2017-H,2017,0,0,5316.55355686502,1,0,0,0,0,0,106331.0711373,5316.55355686502,0,0,0,0,0,H
ME-040-2017-L,2017,0,0,5316.55355686502,1,0,0,0,0,0,106331.0711373,5316.55355686502,0,0,0,0,0,L
ME-041-2017-H,2017,0,0,1782.88771302756,1,0,0,0,0,0,35657.7542605512,1782.88771302756,0,0,0,0,0,H
ME-041-2017-L,2017,0,0,1782.88771302756,1,0,0,0,0,0,35657.7542605512,1782.88771302756,0,0,0,0,0,L
ME-042-2017-H,2017,0,0,2793.61266273525,1,0,0,0,0,0,55872.253254705,2793.61266273525,0,0,0,0,0,H
ME-042-2017-L,2017,0,0,2793.61266273525,1,0,0,0,0,0,55872.253254705,2793.61266273525,0,0,0,0,0,L
ME-043-2017-H,2017,0,0,1297.0090545489,1,0,0,0,0,0,25940.181090978,1297.0090545489,0,0,0,0,0,H
ME-043-2017-L,2017,0,0,1297.0090545489,1,0,0,0,0,0,25940.181090978,1297.0090545489,0,0,0,0,0,L
ME-044-2017-H,2017,0,0,2790.45227078469,1,0,0,0,0,0,55809.0454156938,2790.45227078469,0,0,0,0,0,H
ME-044-2017-L,2017,0,0,2790.45227078469,1,0,0,0,0,0,55809.0454156938,2790.45227078469,0,0,0,0,0,L
ME-045-2017-H,2017,0,0,770.882804579901,1,0,0,0,0,0,15417.656091598,770.882804579901,0,0,0,0,0,H
ME-045-2017-L,2017,0,0,770.882804579901,1,0,0,0,0,0,15417.656091598,770.882804579901,0,0,0,0,0,L
ME-046-2017-H,2017,0,0,1165.80538272152,1,0,0,0,0,0,23316.1076544304,1165.80538272152,0,0,0,0,0,H
ME-046-2017-L,2017,0,0,1165.80538272152,1,0,0,0,0,0,23316.1076544304,1165.80538272152,0,0,0,0,0,L
ME-047-2017-H,2017,0,0,1140.64866279509,1,0,0,0,0,0,22812.9732559018,1140.64866279509,0,0,0,0,0,H
ME-047-2017-L,2017,0,0,1140.64866279509,1,0,0,0,0,0,22812.9732559018,1140.64866279509,0,0,0,0,0,L
ME-048-2017-H,2017,0,0,628.696770724335,1,0,0,0,0,0,12573.9354144867,628.696770724335,0,0,0,0,0,H
ME-048-2017-L,2017,0,0,628.696770724335,1,0,0,0,0,0,12573.9354144867,628.696770724335,0,0,0,0,0,L
ME-049-2017-H,2017,0,0,2540.18083222007,1,0,0,0,0,0,50803.6166444014,2540.18083222007,0,0,0,0,0,H
ME-049-2017-L,2017,0,0,2540.18083222007,1,0,0,0,0,0,50803.6166444014,2540.18083222007,0,0,0,0,0,L
VT-050-2017-H,2017,0,0,962.833812644697,1,0,0,0,0,0,19256.6762528939,962.833812644697,0,0,0,0,0,H
VT-050-2017-L,2017,0,0,962.833812644697,1,0,0,0,0,0,19256.6762528939,962.833812644697,0,0,0,0,0,L
VT-051-2017-H,2017,0,0,464.429413824787,1,0,0,0,0,0,9288.58827649574,464.429413824787,0,0,0,0,0,H
VT-051-2017-L,2017,0,0,464.429413824787,1,0,0,0,0,0,9288.58827649574,464.429413824787,0,0,0,0,0,L
VT-052-2017-H,2017,0,0,524.517274123321,1,0,0,0,0,0,10490.3454824664,524.517274123321,0,0,0,0,0,H
VT-052-2017-L,2017,0,0,524.517274123321,1,0,0,0,0,0,10490.3454824664,524.517274123321,0,0,0,0,0,L
VT-053-2017-H,2017,0,0,584.997455264754,1,0,0,0,0,0,11699.9491052951,584.997455264754,0,0,0,0,0,H
VT-053-2017-L,2017,0,0,584.997455264754,1,0,0,0,0,0,11699.9491052951,584.997455264754,0,0,0,0,0,L
VT-054-2017-H,2017,0,0,3671.0873625169,1,0,0,0,0,0,73421.747250338,3671.0873625169,0,0,0,0,0,H
VT-054-2017-L,2017,0,0,3671.0873625169,1,0,0,0,0,0,73421.747250338,3671.0873625169,0,0,0,0,0,L
VT-056-2017-H,2017,0,0,1338.94395831588,1,0,0,0,0,0,26778.8791663176,1338.94395831588,0,0,0,0,0,H
VT-056-2017-L,2017,0,0,1338.94395831588,1,0,0,0,0,0,26778.8791663176,1338.94395831588,0,0,0,0,0,L
VT-057-2017-H,2017,0,0,1294.47046756476,1,0,0,0,0,0,25889.4093512952,1294.47046756476,0,0,0,0,0,H
VT-057-2017-L,2017,0,0,1294.47046756476,1,0,0,0,0,0,25889.4093512952,1294.47046756476,0,0,0,0,0,L
VT-058-2017-H,2017,0,0,923.052479174657,1,0,0,0,0,0,18461.0495834931,923.052479174657,0,0,0,0,0,H
VT-058-2017-L,2017,0,0,923.052479174657,1,0,0,0,0,0,18461.0495834931,923.052479174657,0,0,0,0,0,L
VT-059-2017-H,2017,0,0,55.3172388488722,1,0,0,0,0,0,1106.34477697744,55.3172388488722,0,0,0,0,0,H
VT-059-2017-L,2017,0,0,55.3172388488722,1,0,0,0,0,0,1106.34477697744,55.3172388488722,0,0,0,0,0,L
CT-060-2017-H,2017,0,0,10583.5455749281,1,0,0,0,0,0,211670.911498562,10583.5455749281,0,0,0,0,0,H
CT-060-2017-L,2017,0,0,10583.5455749281,1,0,0,0,0,0,211670.911498562,10583.5455749281,0,0,0,0,0,L
CT-061-2017-H,2017,0,0,4663.69200926264,1,0,0,0,0,0,93273.8401852528,4663.69200926264,0,0,0,0,0,H
CT-061-2017-L,2017,0,0,4663.69200926264,1,0,0,0,0,0,93273.8401852528,4663.69200926264,0,0,0,0,0,L
CT-062-2017-H,2017,0,0,2631.5928898043,1,0,0,0,0,0,52631.857796086,2631.5928898043,0,0,0,0,0,H
CT-062-2017-L,2017,0,0,2631.5928898043,1,0,0,0,0,0,52631.857796086,2631.5928898043,0,0,0,0,0,L
CT-063-2017-H,2017,0,0,4225.32643995891,1,0,0,0,0,0,84506.5287991782,4225.32643995891,0,0,0,0,0,H
CT-063-2017-L,2017,0,0,4225.32643995891,1,0,0,0,0,0,84506.5287991782,4225.32643995891,0,0,0,0,0,L
CT-064-2017-H,2017,0,0,11301.5700742148,1,0,0,0,0,0,226031.401484296,11301.5700742148,0,0,0,0,0,H
CT-064-2017-L,2017,0,0,11301.5700742148,1,0,0,0,0,0,226031.401484296,11301.5700742148,0,0,0,0,0,L
CT-065-2017-H,2017,0,0,4557.37915991683,1,0,0,0,0,0,91147.5831983366,4557.37915991683,0,0,0,0,0,H
CT-065-2017-L,2017,0,0,4557.37915991683,1,0,0,0,0,0,91147.5831983366,4557.37915991683,0,0,0,0,0,L
CT-066-2017-H,2017,0,0,3760.04065203663,1,0,0,0,0,0,75200.8130407326,3760.04065203663,0,0,0,0,0,H
CT-066-2017-L,2017,0,0,3760.04065203663,1,0,0,0,0,0,75200.8130407326,3760.04065203663,0,0,0,0,0,L
CT-067-2017-H,2017,0,0,5242.63395382913,1,0,0,0,0,0,104852.679076583,5242.63395382913,0,0,0,0,0,H
CT-067-2017-L,2017,0,0,5242.63395382913,1,0,0,0,0,0,104852.679076583,5242.63395382913,0,0,0,0,0,L
CT-068-2017-H,2017,0,0,7312.53459522614,1,0,0,0,0,0,146250.691904523,7312.53459522614,0,0,0,0,0,H
