group,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,resid_risk1,resid_risk2,downsteam_NMC
2017-AK-Low,2.55925e-06,0,11663.881,1,0,0,0,0,0,233568.34042754,11663.881,0,0,2.55925e-06,0,290.720427540388
2017-AZ-Low,4.03124e-07,1.08988e-06,111072.693,1,0,0,0,0,0,2226489.04954603,111072.693,0,0,4.03124e-07,1.08988e-06,5035.18954603165
2017-AR-Low,0,4.14792e-07,47326.3903,1,0,0,0,0,0,947273.604602746,47326.3903,0,0,0,4.14792e-07,745.798602746314
2017-CA-Low,1.17841e-06,9.71764e-07,620620.2851,1,0,0,0,0,0,12442440.9720071,620620.2851,0,0,1.17841e-06,9.71764e-07,30035.2700070548
2017-CO-Low,1.012e-06,8.38058e-07,88490.4134,1,0,0,0,0,0,1773497.890955,88490.4134,0,0,1.012e-06,8.38058e-07,3689.6229549967
2017-CT-Low,2.11913e-06,5.80666e-08,56345.1547,1,0,0,0,0,0,1128190.27130616,56345.1547,0,0,2.11913e-06,5.80666e-08,1287.17730615555
2017-DE-Low,0,7.22841e-08,15087.562,1,0,0,0,0,0,301792.673312783,15087.562,0,0,0,7.22841e-08,41.4333127825974
2017-DC-Low,4.08633e-06,3.98115e-07,10957.5516,1,0,0,0,0,0,219752.845888581,10957.5516,0,0,4.08633e-06,3.98115e-07,601.813888580532
2017-FL-Low,4.96666e-06,1.6496e-08,330562.5079,1,0,0,0,0,0,6627446.93147347,330562.5079,0,0,4.96666e-06,1.6496e-08,16196.7734734681
2017-GA-Low,1.81846e-07,3.18897e-07,164154.1844,1,0,0,0,0,0,3285363.20421794,164154.1844,0,0,1.81846e-07,3.18897e-07,2279.51621793968
2017-HI-Low,3.98712e-06,0,22460.3899,1,0,0,0,0,0,450079.958381074,22460.3899,0,0,3.98712e-06,0,872.160381074036
2017-ID-Low,0,1.00661e-06,27085.6068,1,0,0,0,0,0,542747.963943411,27085.6068,0,0,0,1.00661e-06,1035.82794341053
2017-IL-Low,5.18495e-07,4.87108e-07,201501.5938,1,0,0,0,0,0,4034778.38860822,201501.5938,0,0,5.18495e-07,4.87108e-07,4746.51260821856
2017-IN-Low,4.26491e-07,2.70084e-07,104987.1967,1,0,0,0,0,0,2101257.2799366,104987.1967,0,0,4.26491e-07,2.70084e-07,1513.34593659903
2017-IA-Low,3.01296e-07,2.64187e-07,49537.1979,1,0,0,0,0,0,991386.517392116,49537.1979,0,0,3.01296e-07,2.64187e-07,642.559392116403
2017-KS-Low,6.50828e-07,6.42002e-07,45865.8113,1,0,0,0,0,0,918725.645165358,45865.8113,0,0,6.50828e-07,6.42002e-07,1409.41916535748
2017-KY-Low,4.25193e-07,1.55343e-07,70205.1157,1,0,0,0,0,0,1404807.36560099,70205.1157,0,0,4.25193e-07,1.55343e-07,705.051600994307
2017-LA-Low,2.0266e-07,7.8484e-07,73647.2299,1,0,0,0,0,0,1475285.9224826,73647.2299,0,0,2.0266e-07,7.8484e-07,2341.32448260219
2017-ME-Low,7.09223e-07,0,21044.6878,1,0,0,0,0,0,421039.116047143,21044.6878,0,0,7.09223e-07,0,145.360047143131
