group,p1,p2,n,z,a1,a2,a3,a4,m1,obj_cost,yield,test_cost,mod_cost,resid_risk1,resid_risk2,downsteam_NMC
2019-MO-Low,0,2.94e-08,95817.9853,1,0,0,0,0,0,1916466.73024631,95817.9853,0,0,0,2.94e-08,107.024246308486
2019-MT-Low,0,1.69e-07,16685.8421,1,0,0,0,0,0,333823.974847143,16685.8421,0,0,0,1.69e-07,107.132847142901
2019-NE-Low,1.03476e-07,8.69e-07,30200.1225,1,0,0,0,0,0,605029.933155952,30200.1225,0,0,1.03476e-07,8.69e-07,1027.48315595185
2019-NV-Low,6.49855e-08,8.58e-07,48087.626,1,0,0,0,0,0,963350.457943528,48087.626,0,0,6.49855e-08,8.58e-07,1597.937943528
2019-NH-Low,0,0,21227.9099,1,0,0,0,0,0,424558.198,21227.9099,0,0,0,0,0
2019-NJ-Low,6.76068e-08,5.41e-08,138669.4151,1,0,0,0,0,0,2773764.61993031,138669.4151,0,0,6.76068e-08,5.41e-08,376.31793031405
2019-NM-Low,0,1.15e-06,32735.8513,1,0,0,0,0,0,656147.267226411,32735.8513,0,0,0,1.15e-06,1430.24122641102
2019-NY-Low,3.08682e-08,4.94e-08,303710.4503,1,0,0,0,0,0,6074870.30973854,303710.4503,0,0,3.08682e-08,4.94e-08,661.303738540515
2019-NC-Low,0,5.73e-09,163740.7524,1,0,0,0,0,0,3274850.69304902,163740.7524,0,0,0,5.73e-09,35.6450490223717
2019-ND-Low,0,7.09e-07,11897.369,1,0,0,0,0,0,238267.848228332,11897.369,0,0,0,7.09e-07,320.468228331876
2019-OH-Low,0,1.54e-08,182491.1041,1,0,0,0,0,0,3649928.85224328,182491.1041,0,0,0,1.54e-08,106.770243277354
2019-OK-Low,0,1.06e-07,61776.5274,1,0,0,0,0,0,1235779.32897751,61776.5274,0,0,0,1.06e-07,248.780977513441
2019-OR-Low,4.74581e-08,1.28e-07,65847.6257,1,0,0,0,0,0,1317303.1610046,65847.6257,0,0,4.74581e-08,1.28e-07,350.647004595598
2019-PA-Low,0,3.28e-08,199865.6104,1,0,0,0,0,0,3997561.26556094,199865.6104,0,0,0,3.28e-08,249.057560941423
2019-RI-Low,0,0,16538.8232,1,0,0,0,0,0,330776.464,16538.8232,0,0,0,0,0
2019-SC-Low,0,1.17e-08,80382.1083,1,0,0,0,0,0,1607677.89600421,80382.1083,0,0,0,1.17e-08,35.7300042059896
2019-SD-Low,0,7.47e-07,13811.3625,1,0,0,0,0,0,276619.212878729,13811.3625,0,0,0,7.47e-07,391.962878729341
2019-TN-Low,0,2.64e-08,106617.5756,1,0,0,0,0,0,2132458.44716462,106617.5756,0,0,0,2.64e-08,106.935164622435
2019-TX-Low,1.38065e-08,6.21e-08,452685.8644,1,0,0,0,0,0,9054846.17010348,452685.8644,0,0,1.38065e-08,6.21e-08,1128.88210347772
2019-UT-Low,6.24355e-08,3.93e-07,50051.6562,1,0,0,0,0,0,1001810.8653511,50051.6562,0,0,6.24355e-08,3.93e-07,777.741351100862
2019-VT-Low,0,0,9741.763,1,0,0,0,0,0,194835.26,9741.763,0,0,0,0,0
2019-VA-Low,2.34509e-08,4.22e-08,133257.1615,1,0,0,0,0,0,2665387.30881601,133257.1615,0,0,2.34509e-08,4.22e-08,244.078816013749
2019-WA-Low,0,3.94e-08,118884.2794,1,0,0,0,0,0,2377863.54229086,118884.2794,0,0,0,3.94e-08,177.954290857382
2019-WV-Low,0,0,27979.1331,1,0,0,0,0,0,559582.662,27979.1331,0,0,0,0,0
2019-WI-Low,0,2.06e-08,90900.2754,1,0,0,0,0,0,1818076.64904365,90900.2754,0,0,0,2.06e-08,71.1410436503783
2019-WY-Low,0,3.11e-07,9035.6288,1,0,0,0,0,0,180819.335512683,9035.6288,0,0,0,3.11e-07,106.759512683334
2019-PR-Low,8.60014e-07,0,39023,1,0,0,0,0,0,780786.848075057,39023,0,0,8.60014e-07,0,326.848075057126
2018-AL-High,1.77859e-07,5.08833e-05,76669.359,1,0,0,0,0,0,1681732.51375053,76669.359,0,0,1.77859e-07,5.08833e-05,148345.33375053
2018-AK-High,0,1.20823e-05,11531.5701,1,0,0,0,0,0,235924.694230217,11531.5701,0,0,0,1.20823e-05,5293.29223021741
2018-AZ-High,1.21447e-07,3.22627e-05,112282.5143,1,0,0,0,0,0,2383409.14425522,112282.5143,0,0,1.21447e-07,3.22627e-05,137758.858255224
2018-AR-High,0,2.36092e-05,47211.4076,1,0,0,0,0,0,986574.506898308,47211.4076,0,0,0,2.36092e-05,42346.3548983081
2018-CA-High,2.75369e-07,4.88433e-05,619004.1158,1,0,0,0,0,0,13530388.7724977,619004.1158,0,0,2.75369e-07,4.88433e-05,1150306.4564977
2018-CO-High,0,0.000149824,89274.9191,1,0,0,0,0,0,2293656.26330754,89274.9191,0,0,0,0.000149824,508157.881307543
2018-CT-High,0,5.71998e-05,56023.7358,1,0,0,0,0,0,1242220.62825496,56023.7358,0,0,0,5.71998e-05,121745.91225496
2018-DE-High,0,9.19977e-05,15144.7396,1,0,0,0,0,0,355827.802294817,15144.7396,0,0,0,9.19977e-05,52933.0102948167
2018-DC-High,0,0.000164591,11004.6377,1,0,0,0,0,0,288905.619904834,11004.6377,0,0,0,0.000164591,68812.8659048342
2018-FL-High,2.86441e-07,1.46334e-05,333243.5497,1,0,0,0,0,0,6851066.24717356,333243.5497,0,0,2.86441e-07,1.46334e-05,186195.253173559
2018-GA-High,0,3.0421e-05,164880.1703,1,0,0,0,0,0,3488162.5205377,164880.1703,0,0,0,3.0421e-05,190559.114537703
2018-HI-High,0,0,22283.7691,1,0,0,0,0,0,445675.382,22283.7691,0,0,0,0,0
2018-ID-High,0,8.11837e-05,27459.3356,1,0,0,0,0,0,633879.548496005,27459.3356,0,0,0,8.11837e-05,84692.8364960048
2018-IL-High,1.02489e-07,0.000122869,199577.2019,1,0,0,0,0,0,4923368.09979134,199577.2019,0,0,1.02489e-07,0.000122869,931824.061791343
2018-IN-High,0,4.64307e-05,105027.2027,1,0,0,0,0,0,2285809.6775781,105027.2027,0,0,0,4.64307e-05,185265.623578101
2018-IA-High,0,0.000293382,49389.9916,1,0,0,0,1,0,1313722.14573662,49376.2259228347,296339.9496,0,0,1.46691e-05,27517.5125618291
2018-KS-High,0,0.000143391,45668.289,1,0,0,0,0,0,1162150.92609072,45668.289,0,0,0,0.000143391,248785.146090719
2018-KY-High,0,2.38921e-05,69978.7365,1,0,0,0,0,0,1463094.40002403,69978.7365,0,0,0,2.38921e-05,63519.6700240313
2018-LA-High,0,0.000158213,73093.0364,1,0,0,0,0,0,1901206.02501162,73093.0364,0,0,0,0.000158213,439345.297011622
2018-ME-High,0,1.32663e-05,21004.7754,1,0,0,0,0,0,430682.08763742,21004.7754,0,0,0,1.32663e-05,10586.5796374199
2018-MD-High,1.44027e-07,6.62213e-05,94679.0656,1,0,0,0,0,0,2131912.86796076,94679.0656,0,0,1.44027e-07,6.62213e-05,238331.555960759
2018-MA-High,6.31531e-08,6.32356e-05,107962.6951,1,0,0,0,0,0,2418692.35457541,107962.6951,0,0,6.31531e-08,6.32356e-05,259438.452575409
2018-MI-High,0,9.07429e-05,156612.594,1,0,0,0,0,0,3672169.06412073,156612.594,0,0,0,9.07429e-05,539917.184120727
2018-MN-High,7.75313e-08,9.98132e-05,87940.9923,1,0,0,0,0,0,2092364.22258409,87940.9923,0,0,7.75313e-08,9.98132e-05,333544.376584087
2018-MS-High,0,0.000148979,46761.0084,1,0,0,0,0,0,1199885.30377479,46761.0084,0,0,0,0.000148979,264665.135774791
2018-MO-High,0,3.33719e-05,96025.2748,1,0,0,0,0,0,2042251.38489335,96025.2748,0,0,0,3.33719e-05,121745.888893354
2018-MT-High,0,0.000393586,16637.8505,1,0,0,0,1,0,445951.87868554,16631.6294795932,99827.103,0,0,1.96793e-05,12434.6126245128
2018-NE-High,0,0.001157776,30205.6519,1,0,0,0,1,0,856688.275550276,30172.4290599369,181233.9114,0,0,5.78888e-05,66357.900140804
2018-NV-High,0,2.64059e-05,47487.611,1,0,0,0,0,0,997391.929950547,47487.611,0,0,0,2.64059e-05,47639.709950547
2018-NH-High,0,0,21230.7828,1,0,0,0,0,0,424615.656,21230.7828,0,0,0,0,0
2018-NJ-High,2.44575e-07,6.09737e-05,139388.3604,1,0,0,0,0,0,3110990.91633465,139388.3604,0,0,2.44575e-07,6.09737e-05,323223.708334649
2018-NM-High,0,2.971e-05,32827.2469,1,0,0,0,0,0,693598.070212067,32827.2469,0,0,0,2.971e-05,37053.1322120668
2018-NY-High,1.78045e-07,4.45693e-05,306357.86,1,0,0,0,0,0,6646431.90730057,306357.86,0,0,1.78045e-07,4.45693e-05,519274.70730057
2018-NC-High,1.25605e-07,8.55569e-06,162848.5507,1,0,0,0,0,0,3310103.25328151,162848.5507,0,0,1.25605e-07,8.55569e-06,53132.2392815101
2018-ND-High,0,0.002390205,11891.4282,1,0,0,0,1,0,367096.504749025,11864.4263845533,71348.5692,0,0,0.00011951025,53869.0992320125
2018-OH-High,0,4.94455e-05,183157.9392,1,0,0,0,0,0,4007223.65544842,183157.9392,0,0,0,4.94455e-05,344064.87144842
2018-OK-High,0,4.05761e-05,61807.4894,1,0,0,0,0,0,1331429.23282487,61807.4894,0,0,0,4.05761e-05,95279.4448248709
2018-OR-High,1.03939e-07,4.24793e-06,65598.0861,1,0,0,0,0,0,1322614.72109065,65598.0861,0,0,1.03939e-07,4.24793e-06,10652.9990906459
2018-PA-High,0,9.02032e-05,200798.3917,1,0,0,0,0,0,4704097.03440562,200798.3917,0,0,0,9.02032e-05,688129.200405617
2018-RI-High,0,8.39299e-06,16600.5486,1,0,0,0,0,0,337304.277488346,16600.5486,0,0,0,8.39299e-06,5293.30548834619
2018-SC-High,0,2.62055e-05,79751.3138,1,0,0,0,0,0,1674425.83848867,79751.3138,0,0,0,2.62055e-05,79399.5624886735
2018-SD-High,0,0.001708311,13783.4716,1,0,0,0,1,0,406381.444827602,13761.1024528952,82700.8296,0,0,8.54155500000001e-05,44655.8111618869
2018-TN-High,0,1.57401e-05,106221.4592,1,0,0,0,0,0,2187948.7559913,106221.4592,0,0,0,1.57401e-05,63519.5719913012
2018-TX-High,6.07307e-08,4.52972e-05,449076.2532,1,0,0,0,0,0,9754612.29171983,449076.2532,0,0,6.07307e-08,4.52972e-05,773087.227719832
2018-UT-High,2.75664e-07,3.09822e-05,49467.3562,1,0,0,0,0,0,1047706.17288169,49467.3562,0,0,2.75664e-07,3.09822e-05,58359.0488816944
2018-VT-High,0,1.42261e-05,9793.8322,1,0,0,0,0,0,201169.941808952,9793.8322,0,0,0,1.42261e-05,5293.2978089521
2018-VA-High,5.11287e-08,5.01507e-05,133353.2503,1,0,0,0,0,0,2921210.20193698,133353.2503,0,0,5.11287e-08,5.01507e-05,254145.195936978
2018-WA-High,0,3.5416e-06,118021.2484,1,0,0,0,0,0,2376304.8593203,118021.2484,0,0,0,3.5416e-06,15879.8913203038
2018-WV-High,0,9.84563e-06,28302.5497,1,0,0,0,0,0,576637.603290403,28302.5497,0,0,0,9.84563e-06,10586.6092904033
2018-WI-High,0,5.04721e-05,91096.3901,1,0,0,0,0,0,1996606.66442631,91096.3901,0,0,0,5.04721e-05,174678.862426308
2018-WY-High,0,6.15109e-05,9060.3905,1,0,0,0,0,0,202381.025131199,9060.3905,0,0,0,6.15109e-05,21173.2151311989
2018-PR-High,1.98726e-05,0,50091.7315,1,0,0,0,0,0,1011529.46655316,50091.7315,0,0,1.98726e-05,0,9694.83655315977
2018-AL-Low,1.77859e-07,4.41269e-07,76669.359,1,0,0,0,0,0,1534805.31124184,76669.359,0,0,1.77859e-07,4.41269e-07,1418.13124183852
2018-AK-Low,0,1.0478e-07,11531.5701,1,0,0,0,0,0,230677.306435404,11531.5701,0,0,0,1.0478e-07,45.9044354040357
2018-AZ-Low,1.21447e-07,2.79788e-07,112282.5143,1,0,0,0,0,0,2246976.61044386,112282.5143,0,0,1.21447e-07,2.79788e-07,1326.32444385599
2018-AR-Low,0,2.04744e-07,47211.4076,1,0,0,0,0,0,944595.388589436,47211.4076,0,0,0,2.04744e-07,367.23658943544
2018-CA-Low,2.75369e-07,4.23578e-07,619004.1158,1,0,0,0,0,0,12391703.6641702,619004.1158,0,0,2.75369e-07,4.23578e-07,11621.348170183
2018-CO-Low,0,1.2993e-06,89274.9191,1,0,0,0,0,0,1789905.21625341,89274.9191,0,0,0,1.2993e-06,4406.83425340994
2018-CT-Low,0,4.96047e-07,56023.7358,1,0,0,0,0,0,1121530.51854715,56023.7358,0,0,0,4.96047e-07,1055.80254714765
2018-DE-Low,0,7.97821e-07,15144.7396,1,0,0,0,0,0,303353.836815321,15144.7396,0,0,0,7.97821e-07,459.04481532061
2018-DC-Low,0,1.42736e-06,11004.6377,1,0,0,0,0,0,220689.510397846,11004.6377,0,0,0,1.42736e-06,596.756397846323
2018-FL-Low,2.86441e-07,1.26904e-07,333243.5497,1,0,0,0,0,0,6667407.30134943,333243.5497,0,0,2.86441e-07,1.26904e-07,2536.30734943204
2018-GA-Low,0,2.63816e-07,164880.1703,1,0,0,0,0,0,3299255.96651283,164880.1703,0,0,0,2.63816e-07,1652.56051283254
2018-HI-Low,0,0,22283.7691,1,0,0,0,0,0,445675.382,22283.7691,0,0,0,0,0
2018-ID-Low,0,7.0404e-07,27459.3356,1,0,0,0,0,0,549921.183878058,27459.3356,0,0,0,7.0404e-07,734.471878057384
2018-IL-Low,1.02489e-07,1.06554e-06,199577.2019,1,0,0,0,0,0,3999822.44915032,199577.2019,0,0,1.02489e-07,1.06554e-06,8278.4111503223
2018-IN-Low,0,4.02656e-07,105027.2027,1,0,0,0,0,0,2102150.71327775,105027.2027,0,0,0,4.02656e-07,1606.6592777508
2018-IA-Low,0,2.54426e-06,49389.9916,1,0,0,0,0,0,992573.89620206,49389.9916,0,0,0,2.54426e-06,4774.06420205957
2018-KS-Low,0,1.24351e-06,45668.289,1,0,0,0,0,0,915523.285122464,45668.289,0,0,0,1.24351e-06,2157.50512246425
2018-KY-Low,0,2.07197e-07,69978.7365,1,0,0,0,0,0,1400125.58509729,69978.7365,0,0,0,2.07197e-07,550.855097290285
2018-LA-Low,0,1.37205e-06,73093.0364,1,0,0,0,0,0,1465670.80501494,73093.0364,0,0,0,1.37205e-06,3810.07701494059
2018-ME-Low,0,1.15048e-07,21004.7754,1,0,0,0,0,0,420187.316930457,21004.7754,0,0,0,1.15048e-07,91.8089304573158
2018-MD-Low,1.44027e-07,5.74283e-07,94679.0656,1,0,0,0,0,0,1895779.8202964,94679.0656,0,0,1.44027e-07,5.74283e-07,2198.50829639972
2018-MA-Low,6.31531e-08,5.4839e-07,107962.6951,1,0,0,0,0,0,2161569.62409479,107962.6951,0,0,6.31531e-08,5.4839e-07,2315.72209479389
2018-MI-Low,0,7.86939e-07,156612.594,1,0,0,0,0,0,3136934.14041877,156612.594,0,0,0,7.86939e-07,4682.26041877415
2018-MN-Low,7.75313e-08,8.65599e-07,87940.9923,1,0,0,0,0,0,1761778.23330442,87940.9923,0,0,7.75313e-08,8.65599e-07,2958.38730442074
2018-MS-Low,0,1.29197e-06,46761.0084,1,0,0,0,0,0,937515.386893045,46761.0084,0,0,0,1.29197e-06,2295.21889304504
2018-MO-Low,0,2.89407e-07,96025.2748,1,0,0,0,0,0,1921561.29781131,96025.2748,0,0,0,2.89407e-07,1055.80181131308
2018-MT-Low,0,3.41325e-06,16637.8505,1,0,0,0,0,0,334914.521549307,16637.8505,0,0,0,3.41325e-06,2157.51154930657
2018-NE-Low,0,1.00404e-05,30205.6519,1,0,0,0,0,0,615635.015978984,30205.6519,0,0,0,1.00404e-05,11521.9779789838
2018-NV-Low,0,2.28997e-07,47487.611,1,0,0,0,0,0,950165.360648853,47487.611,0,0,0,2.28997e-07,413.140648852923
2018-NH-Low,0,0,21230.7828,1,0,0,0,0,0,424615.656,21230.7828,0,0,0,0,0
2018-NJ-Low,2.44575e-07,5.28775e-07,139388.3604,1,0,0,0,0,0,2790899.39887825,139388.3604,0,0,2.44575e-07,5.28775e-07,3132.19087825074
2018-NM-Low,0,2.57651e-07,32827.2469,1,0,0,0,0,0,656866.270095846,32827.2469,0,0,0,2.57651e-07,321.332095845547
2018-NY-Low,1.78045e-07,3.86513e-07,306357.86,1,0,0,0,0,0,6132187.06201799,306357.86,0,0,1.78045e-07,3.86513e-07,5029.86201799032
2018-NC-Low,1.25605e-07,7.41965e-08,162848.5507,1,0,0,0,0,0,3257629.26860713,162848.5507,0,0,1.25605e-07,7.41965e-08,658.254607129432
2018-ND-Low,0,2.07283e-05,11891.4282,1,0,0,0,0,0,247193.083885422,11891.4282,0,0,0,2.07283e-05,9364.51988542238
2018-OH-Low,0,4.288e-07,183157.9392,1,0,0,0,0,0,3666142.57457502,183157.9392,0,0,0,4.288e-07,2983.7905750186
2018-OK-Low,0,3.51883e-07,61807.4894,1,0,0,0,0,0,1236976.06792546,61807.4894,0,0,0,3.51883e-07,826.279925456366
2018-OR-Low,1.03939e-07,3.68389e-08,65598.0861,1,0,0,0,0,0,1312119.93434879,65598.0861,0,0,1.03939e-07,3.68389e-08,158.212348790323
2018-PA-Low,0,7.82259e-07,200798.3917,1,0,0,0,0,0,4021935.41896572,200798.3917,0,0,0,7.82259e-07,5967.58496572292
2018-RI-Low,0,7.27855e-08,16600.5486,1,0,0,0,0,0,332056.876485365,16600.5486,0,0,0,7.27855e-08,45.904485364813
2018-SC-Low,0,2.27259e-07,79751.3138,1,0,0,0,0,0,1595714.84386444,79751.3138,0,0,0,2.27259e-07,688.567864441184
2018-SD-Low,0,1.48148e-05,13783.4716,1,0,0,0,0,0,283427.297061505,13783.4716,0,0,0,1.48148e-05,7757.86506150484
2018-TN-Low,0,1.36501e-07,106221.4592,1,0,0,0,0,0,2124980.03724085,106221.4592,0,0,0,1.36501e-07,550.853240855179
2018-TX-Low,6.07307e-08,3.92826e-07,449076.2532,1,0,0,0,0,0,8988492.73343747,449076.2532,0,0,6.07307e-08,3.92826e-07,6967.66943747099
2018-UT-Low,2.75664e-07,2.68684e-07,49467.3562,1,0,0,0,0,0,989984.880180626,49467.3562,0,0,2.75664e-07,2.68684e-07,637.756180625961
2018-VT-Low,0,1.23371e-07,9793.8322,1,0,0,0,0,0,195922.548319806,9793.8322,0,0,0,1.23371e-07,45.9043198057254
2018-VA-Low,5.11287e-08,4.34916e-07,133353.2503,1,0,0,0,0,0,2669334.82660812,133353.2503,0,0,5.11287e-08,4.34916e-07,2269.82060812224
2018-WA-Low,0,3.07134e-08,118021.2484,1,0,0,0,0,0,2360562.6813087,118021.2484,0,0,0,3.07134e-08,137.713308695792
2018-WV-Low,0,8.53831e-08,28302.5497,1,0,0,0,0,0,566142.803007621,28302.5497,0,0,0,8.53831e-08,91.8090076209885
2018-WI-Low,0,4.37704e-07,91096.3901,1,0,0,0,0,0,1823442.65152676,91096.3901,0,0,0,4.37704e-07,1514.84952675725
2018-WY-Low,0,5.33434e-07,9060.3905,1,0,0,0,0,0,181391.428071599,9060.3905,0,0,0,5.33434e-07,183.618071598627
2018-PR-Low,1.98726e-05,0,50091.7315,1,0,0,0,0,0,1011529.46655316,50091.7315,0,0,1.98726e-05,0,9694.83655315977
2017-AL-High,5.82546e-07,9.81676e-05,76862.8154,1,0,0,0,0,0,1824355.80577755,76862.8154,0,0,5.82546e-07,9.81676e-05,287099.497777553
2017-AK-High,2.55925e-06,0,11663.881,1,0,0,0,0,0,233568.34042754,11663.881,0,0,2.55925e-06,0,290.720427540388
2017-AZ-High,4.03124e-07,0.000125675,111072.693,1,0,0,0,0,0,2752217.26893879,111072.693,0,0,4.03124e-07,0.000125675,530763.408938794
2017-AR-High,0,4.78302e-05,47326.3903,1,0,0,0,0,0,1032526.80388105,47326.3903,0,0,0,4.78302e-05,85998.9978810506
2017-CA-High,1.17841e-06,0.000112055,620620.2851,1,0,0,0,0,0,15061602.6151904,620620.2851,0,0,1.17841e-06,0.000112055,2649196.91319036
2017-CO-High,1.012e-06,9.66375e-05,88490.4134,1,0,0,0,0,0,2095565.47550158,88490.4134,0,0,1.012e-06,9.66375e-05,325757.207501577
2017-CT-High,2.11913e-06,6.69573e-06,56345.1547,1,0,0,0,0,0,1142399.14368726,56345.1547,0,0,2.11913e-06,6.69573e-06,15496.0496872636
2017-DE-High,0,8.33516e-06,15087.562,1,0,0,0,0,0,306528.961398938,15087.562,0,0,0,8.33516e-06,4777.72139893828
2017-DC-High,4.08633e-06,4.59071e-05,10957.5516,1,0,0,0,0,0,238698.015011933,10957.5516,0,0,4.08633e-06,4.59071e-05,19546.9830119326
2017-FL-High,4.96666e-06,1.90217e-06,330562.5079,1,0,0,0,0,0,6651128.3667497,330562.5079,0,0,4.96666e-06,1.90217e-06,39878.2087496972
2017-GA-High,1.81846e-07,3.67724e-05,164154.1844,1,0,0,0,0,0,3512704.87037193,164154.1844,0,0,1.81846e-07,3.67724e-05,229621.182371934
2017-HI-High,3.98712e-06,0,22460.3899,1,0,0,0,0,0,450079.958381074,22460.3899,0,0,3.98712e-06,0,872.160381074036
2017-ID-High,0,0.000116074,27085.6068,1,0,0,0,0,0,661155.309327737,27085.6068,0,0,0,0.000116074,119443.173327737
2017-IL-High,5.18495e-07,5.61691e-05,201501.5938,1,0,0,0,0,0,4461044.75001373,201501.5938,0,0,5.18495e-07,5.61691e-05,431012.874013732
2017-IN-High,4.26491e-07,3.11437e-05,104987.1967,1,0,0,0,0,0,2224400.82459599,104987.1967,0,0,4.26491e-07,3.11437e-05,124656.890595988
