year,zip3,state_name,state_id,season,numDonor,pWNV,pZIKV,donorGroup
2017,048,Maine,ME,H,314.348385362168,0,0,ME-048-2017-H
2017,048,Maine,ME,L,314.348385362168,0,0,ME-048-2017-L
2017,049,Maine,ME,H,1270.09041611003,0,0,ME-049-2017-H
2017,049,Maine,ME,L,1270.09041611003,0,0,ME-049-2017-L
2017,050,Vermont,VT,H,481.416906322348,0,0,VT-050-2017-H
2017,050,Vermont,VT,L,481.416906322348,0,0,VT-050-2017-L
2017,051,Vermont,VT,H,232.214706912393,0,0,VT-051-2017-H
2017,051,Vermont,VT,L,232.214706912393,0,0,VT-051-2017-L
2017,052,Vermont,VT,H,262.25863706166,0,0,VT-052-2017-H
2017,052,Vermont,VT,L,262.25863706166,0,0,VT-052-2017-L
2017,053,Vermont,VT,H,292.498727632377,0,0,VT-053-2017-H
2017,053,Vermont,VT,L,292.498727632377,0,0,VT-053-2017-L
2017,054,Vermont,VT,H,1835.54368125845,0,0,VT-054-2017-H
2017,054,Vermont,VT,L,1835.54368125845,0,0,VT-054-2017-L
2017,056,Vermont,VT,H,669.47197915794,0,0,VT-056-2017-H
2017,056,Vermont,VT,L,669.47197915794,0,0,VT-056-2017-L
2017,057,Vermont,VT,H,647.235233782379,0,0,VT-057-2017-H
2017,057,Vermont,VT,L,647.235233782379,0,0,VT-057-2017-L
2017,058,Vermont,VT,H,461.526239587328,0,0,VT-058-2017-H
2017,058,Vermont,VT,L,461.526239587328,0,0,VT-058-2017-L
2017,059,Vermont,VT,H,27.6586194244361,0,0,VT-059-2017-H
2017,059,Vermont,VT,L,27.6586194244361,0,0,VT-059-2017-L
2017,060,Connecticut,CT,H,5291.77278746404,0,0,CT-060-2017-H
2017,060,Connecticut,CT,L,5291.77278746404,0,0,CT-060-2017-L
2017,061,Connecticut,CT,H,2331.84600463132,0,0,CT-061-2017-H
2017,061,Connecticut,CT,L,2331.84600463132,0,0,CT-061-2017-L
2017,062,Connecticut,CT,H,1315.79644490215,0,0,CT-062-2017-H
2017,062,Connecticut,CT,L,1315.79644490215,0,0,CT-062-2017-L
2017,063,Connecticut,CT,H,2112.66321997945,0,0,CT-063-2017-H
2017,063,Connecticut,CT,L,2112.66321997945,0,0,CT-063-2017-L
