group,year,z,a1,a2,a3,a4,m1
NJ-071-2017-L,2017,2,0,0,0,0,0
NJ-072-2017-H,2017,2,0,0,2,0,0
NJ-072-2017-L,2017,2,0,0,1,1,0
NJ-073-2017-H,2017,2,0,0,0,0,0
NJ-073-2017-L,2017,2,0,0,2,0,0
NJ-074-2017-H,2017,2,0,0,0,2,0
NJ-074-2017-L,2017,2,0,0,0,2,0
NJ-075-2017-H,2017,2,0,0,0,0,0
NJ-075-2017-L,2017,2,0,0,2,0,0
NJ-076-2017-H,2017,2,0,0,0,1,0
NJ-076-2017-L,2017,2,0,0,0,0,0
NJ-077-2017-H,2017,2,0,0,0,0,0
NJ-077-2017-L,2017,2,0,0,0,0,0
NJ-078-2017-H,2017,2,0,0,0,2,0
NJ-078-2017-L,2017,2,0,0,0,2,0
NJ-079-2017-H,2017,2,0,0,0,0,0
NJ-079-2017-L,2017,2,0,0,0,0,0
NJ-080-2017-H,2017,2,0,0,0,2,0
NJ-080-2017-L,2017,2,0,0,1,1,0
NJ-081-2017-H,2017,2,0,0,0,2,0
NJ-081-2017-L,2017,2,0,0,0,2,0
NJ-082-2017-H,2017,2,0,0,0,2,0
NJ-082-2017-L,2017,2,0,0,1,1,0
NJ-083-2017-H,2017,2,0,0,2,0,0
NJ-083-2017-L,2017,2,0,0,2,0,0
NJ-084-2017-H,2017,2,0,0,0,2,0
NJ-084-2017-L,2017,2,0,0,2,0,0
NJ-085-2017-H,2017,2,0,0,2,0,0
NJ-085-2017-L,2017,2,0,0,1,1,0
NJ-086-2017-H,2017,2,0,0,2,0,0
NJ-086-2017-L,2017,2,0,0,0,0,0
NJ-087-2017-H,2017,2,0,0,0,2,0
NJ-087-2017-L,2017,2,0,0,0,2,0
NJ-088-2017-H,2017,2,0,0,0,0,0
NJ-088-2017-L,2017,2,0,0,0,2,0
NJ-089-2017-H,2017,2,0,0,0,2,0
NJ-089-2017-L,2017,2,0,0,0,0,0
NY-100-2017-H,2017,2,0,0,0,2,0
NY-100-2017-L,2017,2,0,0,2,0,0
NY-101-2017-H,2017,2,0,0,0,2,0
NY-101-2017-L,2017,2,0,0,0,2,0
NY-102-2017-H,2017,2,0,0,0,2,0
NY-102-2017-L,2017,2,0,0,0,2,0
NY-103-2017-H,2017,2,0,0,0,0,0
NY-103-2017-L,2017,2,0,0,0,1,0
NY-104-2017-H,2017,2,0,0,0,0,0
NY-104-2017-L,2017,2,0,0,0,0,0
NY-105-2017-H,2017,2,0,0,0,2,0
NY-105-2017-L,2017,2,0,0,0,0,0
NY-106-2017-H,2017,2,0,0,0,0,0
NY-106-2017-L,2017,2,0,0,0,2,0
NY-107-2017-H,2017,2,0,0,0,0,0
NY-107-2017-L,2017,2,0,0,0,0,0
NY-108-2017-H,2017,2,0,0,0,1,0
NY-108-2017-L,2017,2,0,0,0,0,0
NY-109-2017-H,2017,2,0,0,0,0,0
NY-109-2017-L,2017,2,0,0,2,0,0
NY-110-2017-H,2017,2,0,0,0,2,0
NY-110-2017-L,2017,2,0,0,0,2,0
NY-111-2017-H,2017,2,0,0,1,1,0
NY-111-2017-L,2017,2,0,0,0,1,0
NY-112-2017-H,2017,2,0,0,0,0,0
NY-112-2017-L,2017,2,0,0,0,0,0
NY-113-2017-H,2017,2,0,0,0,0,0
NY-113-2017-L,2017,2,0,0,0,2,0
NY-114-2017-H,2017,2,0,0,0,2,0
NY-114-2017-L,2017,2,0,0,0,2,0
NY-115-2017-H,2017,2,0,0,1,1,0
NY-115-2017-L,2017,2,0,0,2,0,0
NY-116-2017-H,2017,2,0,0,0,2,0
NY-116-2017-L,2017,2,0,0,0,2,0
NY-117-2017-H,2017,2,0,0,0,0,0
NY-117-2017-L,2017,2,0,0,0,2,0
NY-118-2017-H,2017,2,0,0,0,2,0
NY-118-2017-L,2017,2,0,0,0,2,0
NY-119-2017-H,2017,2,0,0,0,2,0
NY-119-2017-L,2017,2,0,0,0,2,0
NY-120-2017-H,2017,2,0,0,0,1,0
NY-120-2017-L,2017,2,0,0,0,2,0
NY-121-2017-H,2017,2,0,0,0,0,0
NY-121-2017-L,2017,2,0,0,0,2,0
NY-122-2017-H,2017,2,0,0,0,0,0
NY-122-2017-L,2017,2,0,0,0,0,0
NY-123-2017-H,2017,2,0,0,0,0,0
NY-123-2017-L,2017,2,0,0,0,0,0
NY-124-2017-H,2017,2,0,0,0,1,0
NY-124-2017-L,2017,2,0,0,0,2,0
NY-125-2017-H,2017,2,0,0,2,0,0
NY-125-2017-L,2017,2,0,0,1,1,0
NY-126-2017-H,2017,2,0,0,0,0,0
NY-126-2017-L,2017,2,0,0,0,0,0
NY-127-2017-H,2017,2,0,0,0,1,0
NY-127-2017-L,2017,2,0,0,0,0,0
NY-128-2017-H,2017,2,0,0,0,2,0
NY-128-2017-L,2017,2,0,0,0,2,0
NY-129-2017-H,2017,2,0,0,0,2,0
NY-129-2017-L,2017,2,0,0,0,2,0
NY-130-2017-H,2017,2,0,0,0,2,0
NY-130-2017-L,2017,2,0,0,0,2,0
NY-131-2017-H,2017,2,0,0,0,0,0
NY-131-2017-L,2017,2,0,0,0,0,0
NY-132-2017-H,2017,2,0,0,0,2,0
NY-132-2017-L,2017,2,0,0,0,0,0
NY-133-2017-H,2017,2,0,0,0,2,0
NY-133-2017-L,2017,2,0,0,0,2,0
NY-134-2017-H,2017,2,0,0,0,0,0
NY-134-2017-L,2017,2,0,0,0,0,0
NY-135-2017-H,2017,2,0,0,0,2,0
NY-135-2017-L,2017,2,0,0,0,2,0
NY-136-2017-H,2017,2,0,0,0,2,0
NY-136-2017-L,2017,2,0,0,0,2,0
NY-137-2017-H,2017,2,0,0,0,0,0
NY-137-2017-L,2017,2,0,0,0,2,0
NY-138-2017-H,2017,2,0,0,0,2,0
NY-138-2017-L,2017,2,0,0,0,2,0
NY-139-2017-H,2017,2,0,0,0,0,0
NY-139-2017-L,2017,2,0,0,0,0,0
NY-140-2017-H,2017,2,0,0,0,0,0
NY-140-2017-L,2017,2,0,0,0,2,0
NY-141-2017-H,2017,2,0,0,0,2,0
NY-141-2017-L,2017,2,0,0,0,2,0
NY-142-2017-H,2017,2,0,0,0,2,0
NY-142-2017-L,2017,2,0,0,0,0,0
NY-143-2017-H,2017,2,0,0,0,0,0
NY-143-2017-L,2017,2,0,0,0,0,0
NY-144-2017-H,2017,2,0,0,0,2,0
NY-144-2017-L,2017,2,0,0,0,0,0
NY-145-2017-H,2017,2,0,0,0,1,0
NY-145-2017-L,2017,2,0,0,0,0,0
NY-146-2017-H,2017,2,0,0,0,2,0
NY-146-2017-L,2017,2,0,0,0,0,0
NY-147-2017-H,2017,2,0,0,0,0,0
NY-147-2017-L,2017,2,0,0,0,0,0
NY-148-2017-H,2017,2,0,0,0,0,0
NY-148-2017-L,2017,2,0,0,0,2,0
NY-149-2017-H,2017,2,0,0,0,0,0
NY-149-2017-L,2017,2,0,0,0,0,0
PA-150-2017-H,2017,2,0,0,0,1,0
PA-150-2017-L,2017,2,0,0,0,0,0
PA-151-2017-H,2017,2,0,0,0,2,0
PA-151-2017-L,2017,2,0,0,1,1,0
PA-152-2017-H,2017,2,0,0,0,2,0
PA-152-2017-L,2017,2,0,0,0,0,0
PA-153-2017-H,2017,2,0,0,0,0,0
PA-153-2017-L,2017,2,0,0,1,1,0
PA-154-2017-H,2017,2,0,0,0,2,0
PA-154-2017-L,2017,2,0,0,0,0,0
PA-155-2017-H,2017,2,0,0,0,2,0
PA-155-2017-L,2017,2,0,0,0,2,0
PA-156-2017-H,2017,2,0,0,0,2,0
PA-156-2017-L,2017,2,0,0,0,2,0
PA-157-2017-H,2017,2,0,0,0,2,0
PA-157-2017-L,2017,2,0,0,0,2,0
PA-158-2017-H,2017,2,0,0,0,2,0
PA-158-2017-L,2017,2,0,0,1,1,0
PA-159-2017-H,2017,2,0,0,0,2,0
PA-159-2017-L,2017,2,0,0,0,0,0
PA-160-2017-H,2017,2,0,0,0,2,0
PA-160-2017-L,2017,2,0,0,0,2,0
PA-161-2017-H,2017,2,0,0,1,1,0
PA-161-2017-L,2017,2,0,0,1,1,0
PA-162-2017-H,2017,2,0,0,0,0,0
PA-162-2017-L,2017,2,0,0,0,2,0
PA-163-2017-H,2017,2,0,0,0,1,0
PA-163-2017-L,2017,2,0,0,0,2,0
PA-164-2017-H,2017,2,0,0,0,2,0
PA-164-2017-L,2017,2,0,0,0,2,0
PA-165-2017-H,2017,2,0,0,1,1,0
PA-165-2017-L,2017,2,0,0,0,2,0
PA-166-2017-H,2017,2,0,0,0,2,0
PA-166-2017-L,2017,2,0,0,0,2,0
PA-167-2017-H,2017,2,0,0,0,2,0
PA-167-2017-L,2017,2,0,0,0,2,0
PA-168-2017-H,2017,2,0,0,0,2,0
PA-168-2017-L,2017,2,0,0,0,2,0
PA-169-2017-H,2017,2,0,0,0,2,0
PA-169-2017-L,2017,2,0,0,0,2,0
PA-170-2017-H,2017,2,0,0,0,2,0
PA-170-2017-L,2017,2,0,0,0,1,0
PA-171-2017-H,2017,2,0,0,0,0,0
PA-171-2017-L,2017,2,0,0,0,0,0
PA-172-2017-H,2017,2,0,0,0,2,0
PA-172-2017-L,2017,2,0,0,0,2,0
PA-173-2017-H,2017,2,0,0,0,0,0
PA-173-2017-L,2017,2,0,0,0,0,0
PA-174-2017-H,2017,2,0,0,0,0,0
PA-174-2017-L,2017,2,0,0,0,0,0
