,Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter
0,22239952.45391102,2064688.2104782956,11501702.513255348,97707790013.17789,9989784185.472374,50533465689.891884,534645.2032576138,29753.308682234587,182018.702772557,6748947.166167184,731117.6030580213,3607582.2105232747,121828.40792575016,11244.315679844423,59345.771533618856,414658.46222885145,29424.15208601571,177979.67869458938,31315.10033143633,2447.6865744839984,14489.503340971443,10000000.0,0.0
1,22230845.571951754,2061931.4973422305,11502082.256211907,97512706508.54272,9957093278.864872,50462023714.635826,531217.8669050729,30076.680215746,181292.46403728213,6738393.663832695,729678.3404613833,3609541.42257276,122108.41215145522,11120.051030772443,60363.18834789573,413950.88950666855,29563.541050928805,176719.4552962717,31017.110432839578,2286.633049041986,14228.711084037468,10000000.0,1.0
2,22236973.781220656,2062814.0216097252,11490820.772390928,97766797780.22516,9988356154.312626,50514183555.56708,532019.3142959386,29304.902859879523,183030.49114956037,6741199.837569113,730886.2419021741,3600494.2203429337,121252.45762791362,11039.933033344461,59091.51952137296,417456.8694247093,29835.36997077394,181154.55872531835,31913.123955095274,2437.8762074519964,14024.737202830493,10000000.0,2.0
