Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,PSA set,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation
4445313.97730684,412139.650493515,2297114.19991538,59932359855.1186,5712647377.98508,29472733604.9959,131033.254854952,7480.73245974203,46651.9560210594,1215980.68682958,131148.665371502,652637.528160287,19986.9877665284,1550.44675634898,9122.82380917425,64647.8661491189,4136.70476516013,26615.5257578159,97441.0617800643,8493.32525795462,46992.4756138656,2e+06,0,PSA_set1,13482.1432549132,13860.950702376,12830.3301621145,0.0294767153735084,0.0181509652147864,0.0203089406799096,12727.143232638,207.91426053564,6941.20861770397,0.027826019312592,0.000272264478221797,0.0109871369078311,19876.2661108776,0.0390854206986449,58961.6868095225
4444871.28449417,411970.830427511,2296167.09073159,59867808903.9632,5786938733.71112,29440158509.321,130361.08011999,7596.74678402191,45671.3526636117,1221626.55305648,130508.538922663,657075.084181081,19991.0754194585,1512.02281880698,9052.10741348525,63775.9697791495,4178.39882504613,26575.4667591018,96626.8013164075,8541.55956252861,46219.5004448026,2e+06,1,PSA_set1,13468.9634574595,14046.9623242643,12821.4356124845,0.029328426353931,0.0184400113380324,0.0198902566141475,12714.7015038418,210.704434863965,6936.39666635414,0.0276860344781109,0.000276600170070486,0.0107606288282538,19861.8026050599,0.0387232634764351,58585.066081495
4444162.89424177,412857.442348021,2300502.04666395,51488286890.6225,6136226624.06887,27130255926.2954,98383.1889024905,6349.82393847651,33862.2993760966,1399712.5107267,155438.316612112,753652.833662163,16888.9556108817,1362.41472156898,7441.98092435821,71280.4917933401,4746.58258231622,29659.6008947867,21983.8062228333,4527.07561997513,13915.1881043063,2e+06,0,2,11585.5984841004,14862.821871808,11793.1892152142,0.0221376198946182,0.0153801852338267,0.0147195258640181,10936.8049689907,222.94232807712,6380.11536543086,0.0208979131805196,0.000230702778507401,0.0079632634924338,17539.8626624987,0.0290918794514608,46631.7421139595
4448719.40096304,413290.733558606,2298419.79626127,51843965063.2184,6151972157.21227,27483901257.535,99066.5976085819,6232.82474861196,34891.8183532805,1402770.48388362,156687.912112813,753414.114731038,17164.4634183636,1446.62037192698,7633.69184677521,73304.2887589857,4998.38200280424,30298.0922824525,22418.7324945852,4512.76883472014,14930.5610921183,2e+06,1,2,11653.6828670281,14885.3377481784,11957.7377910866,0.0222685651037322,0.0150809690189391,0.0151807856902544,11001.0766264745,223.280066222677,6469.13614497788,0.0210215254579232,0.000226214535284087,0.00821280505842763,17693.4928376751,0.0294605450516349,47154.03788931
4445598.06918552,412465.436432038,2295865.42194539,44231034669.5943,4402488940.83515,21846971713.0322,130411.074670835,7978.92379382917,46544.4958217989,1334854.53921715,151113.579812175,721949.406302413,22455.5213709552,1963.70846757197,10919.7560372023,80268.8318211241,5790.16037534534,34181.7713312454,83699.5989252758,8115.62612722256,40802.9515472597,2e+06,0,3,9949.40027893656,10673.5948081326,9515.78934209495,0.0293348774768403,0.0193444664426903,0.0202731812487335,9392.23386331611,160.103922121989,5148.04203407337,0.0276921243381373,0.000290166996640355,0.0109677910555648,14700.3798195115,0.0389500823903425,53650.4622098539
4447085.9748521,412452.764707951,2296895.91924899,44696747086.0199,4424542656.12574,21759567581.4245,131623.570557219,8055.58945253729,46131.2190341313,1340152.54617974,152184.953645129,726255.339898872,21889.7902054433,2059.76831142697,10134.1091440563,80246.3497300078,5732.52446903236,34669.8370910875,85814.5505512586,8168.76561531254,40366.7989796288,2e+06,1,3,10050.7944615365,10727.3924063975,9473.46695123179,0.0295977121426345,0.019530938186925,0.0200841573392732,9487.94997169041,160.910886095963,5125.1456206164,0.0279402402626469,0.000292964072803874,0.0108655291205468,14774.0064784028,0.0390987334559976,53872.7399344004
4445597.25165498,410031.647877516,2298310.24716275,39317367098.0501,4055081635.51519,20046647466.2533,87718.7377141608,4822.00255235493,29327.9515344903,1251628.6992667,136613.857338904,673000.579996323,20446.0311905673,1611.35278500598,9459.23764531326,55251.1695936351,3681.7489940511,22810.329645279,28636.8701317006,2564.593448282,12630.4387884074,2e+06,0,4,8844.11359652818,9889.6796296234,8722.34176869756,0.0197315979717923,0.011760074075539,0.01276065821431,8348.8432351226,148.345194444351,4718.78689686538,0.0186266284853719,0.000176401111133086,0.00690351609394173,13215.9753264323,0.0257065456904467,38922.5210168791
4443647.44120732,412249.199592031,2298255.47261345,39126592460.6932,4088475071.10002,20129013090.6092,87156.5198909254,5061.80928943983,29945.7990853954,1244456.50343571,135292.727911929,669955.278563495,20729.3055386162,1725.80706704598,9509.51577635229,54922.9310633567,3599.99593545108,22751.87620838,28859.6472163855,2839.69249047102,13450.4219661654,2e+06,1,4,8805.06227786214,9917.4845582382,8758.38797316975,0.0196137342226334,0.0122785181740779,0.0130297956176921,8311.97879030186,148.762268373573,4738.28789348483,0.0185153651061659,0.000184177772611169,0.0070491194291714,13199.0289521603,0.0257486623079485,38947.6912601088
4445853.54749357,410739.629364991,2298368.29183436,33054996580.9452,3584828057.50159,17382426474.3873,72029.8864529201,4289.03122824473,25263.6432108804,1264045.35380683,131205.48374723,669813.43700683,8337.58568132135,543.657839689998,3057.56439164,23884.1560699899,1041.94273185699,7361.04539634424,14770.7338625553,2479.570267338,9572.05686618124,2e+06,0,5,7435.0169720684,8727.73845329652,7562.9421690786,0.016201587767894,0.0104422142924841,0.0109919908400394,7018.65602163257,130.916076799448,4091.55171347153,0.015294298852892,0.000156633214387262,0.00594666704446133,11241.1238119035,0.0213975991117406,32638.7229236441
4441712.75507529,411635.642887248,2296624.49909439,32889832511.6372,3623876614.08678,17142585047.2374,71373.8532388939,4326.15285998081,24630.5107007191,1261774.25383892,131067.729843489,668012.417125855,9050.06358702034,691.222110462996,3470.826102863,23459.4489305629,1072.60012883199,6954.32392980925,14670.9951310634,2640.62379278001,9404.05433075824,2e+06,1,5,7404.76350571204,8803.60259541325,7464.25245136814,0.0160689934659415,0.0105096653672573,0.0107246573004997,6990.09674939216,132.054038931199,4038.16057619016,0.0151691298318488,0.00015764498050886,0.00580203959957035,11160.3113645135,0.021128814411928,32289.1257764415
