Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip
4441595.848,412415.9758,2294122.038,11220571222,1202521050,5944799744,102204.3562,5786.237054,35213.1044,1260191.106,133175.3237,671627.5374,18353.56166,1420.459393,8516.216114,60305.96121,3670.303566,23526.8952,43210.57912,4746.582582,21901.6444,2000000
4446360.008,411199.8991,2300014.39,12435577037,1279375925,6425315394,138324.2452,8132.377706,48291.51453,1404063,151637.2082,751597.153,21855.45392,1816.552962,10255.51244,76765.71326,5094.850612,31306.10749,52387.76872,5318.853993,26716.08202,2000000
4448745.971,412451.1296,2296711.157,12155209058,1233866037,6252388697,118075.1585,7021.109708,42022.50939,1507393.961,158410.4491,795659.1902,21427.88542,2076.936454,10484.01223,44809.66895,2612.827753,16186.28807,48718.69145,6767.926956,30602.21366,2000000
4445194.618,412289.6674,2297661.945,8845261656,806520424.2,4379397139,112945.9447,6029.048816,38441.06877,1285207.133,132897.7721,678947.2975,20728.48801,1532.052318,9102.385545,73272.81383,4918.672771,31220.26678,37883.54982,3785.984144,19977.99493,2000000
4445338.912,411870.2742,2298682.224,26680693173,2738786286,14122244181,85267.35547,4625.821475,28937.0932,1281235.978,131373.0775,677909.4424,21606.10709,1833.721104,10069.52423,36615.55989,1813.691605,12011.56813,16010.11023,2319.334272,11184.22718,2000000
4446245.962,412786.726,2303403.871,16529506973,1788210504,8891121112,145752.4147,8977.997411,53005.89902,1488002.953,161378.0851,797572.6206,25901.00403,2240.033806,12213.08942,90790.85923,6767.518191,39176.06568,53492.6613,6132.296926,31161.81335,2000000
4443400.138,411788.1123,2296178.127,19126268866,2054990832,10212067016,129598.7452,9104.716859,50594.69838,1309019.755,137029.1629,688052.1356,25279.68078,2193.434562,12655.37347,80031.33919,6151.91766,36639.67704,88124.07446,11501.83781,52067.70549,2000000
4451561.137,413221.6522,2305810.682,9728529915,1029422618,5122574352,108564.0551,6089.654911,36329.6622,1397612.275,149144.1486,749255.7454,22234.78811,1998.862283,10421.06238,41577.56178,2325.465752,14285.12069,40054.91106,4175.128703,19610.51493,2000000
4444581.879,414119.7096,2295352.422,18718107393,1971600882,9753767586,102802.8175,6553.837535,36815.17523,1202277.648,131175.2351,641809.7443,23439.01067,2038.103751,10841.2731,60541.41002,4185.347835,25231.44648,52292.5264,6458.082864,29908.13019,2000000
4445784.057,412956.3635,2296389.459,7625903519,798555413.1,3954887647,111414.9728,6694.686433,38622.64835,1551980.444,169521.0985,828401.2902,28345.42048,2490.60693,13750.04693,82575.49437,6006.805981,34751.59015,30348.77918,3995.271974,18067.01719,2000000
4452390.113,412481.3783,2299528.368,7450679301,791277512.2,3817267315,109863.2195,6993.549217,39305.34517,1454425.336,157599.05,778395.8056,23203.97062,2086.746821,10907.90184,58994.64215,3773.31242,22900.25801,30201.62367,4785.82405,17761.66951,2000000
4439601.482,412018.2472,2298294.305,12058098322,1428676694,6896499012,126255.276,7959.852248,46275.85717,1461738.148,154104.5155,774890.2345,25444.00443,2056.089424,12188.15474,79231.38551,5265.714504,33007.38864,40733.46145,5789.75161,26126.64247,2000000
4441106.965,414386.6333,2295002.518,20642648796,2261312720,10967304637,112424.5941,6640.523347,38399.5327,1338106.267,151074.7471,722378.6099,19460.49807,1740.113852,8945.419672,67240.6644,4518.491549,28334.79258,29870.52379,2531.48346,13569.78143,2000000
4442958.672,410052.9037,2292101.92,16704651211,1704595211,8912685358,142938.209,8087.755507,52039.02926,1211345.288,127274.3879,646597.2034,20014.78381,1544.724042,9319.439915,72022.80957,4375.832462,28388.34083,96777.22694,8290.986438,49602.03324,2000000
4450144.357,411680.1983,2297424.044,22269875352,2272585839,11036885628,130610.1577,7901.168813,45788.20839,1252315.016,140262.4963,679264.0906,22396.2504,1810.421483,10212.18332,79704.32695,5936.907116,35191.83037,72801.50745,7096.983017,34122.0916,2000000
4443139.755,412327.2738,2301791.701,10685814824,1216174513,5964996941,93400.62703,6394.099576,37319.01673,1194710.994,132751.8429,636465.9556,19462.95066,1539.818859,9370.535577,42595.79612,3156.894358,18694.88068,55588.40096,6879.928646,35033.6382,2000000
4445221.596,411784.0247,2300697.436,28637452312,3099896690,15367540791,112185.1065,6270.130412,37667.38146,1424970.936,156091.5236,770188.2073,20470.14834,1652.63808,9666.481649,67880.38209,4432.650837,27477.61176,34619.15019,2465.672247,12813.56564,2000000
4445941.841,411491.3487,2296450.365,9139652706,1050863598,5029337664,107988.0359,5987.300585,34828.85814,1570695.763,172926.9309,843723.4484,24312.5421,2026.658323,11364.90144,53379.43332,2843.371378,17961.14697,15915.27668,2510.227664,10793.85633,2000000
4440770.142,412872.5667,2297334.116,5935542875,641437521.2,3117488196,83984.24599,4851.17815,27901.83534,1144768.868,126476.8868,614797.3075,16286.84433,1237.332542,7434.214384,39949.04085,1892.583307,13129.13245,37581.06351,4127.711929,19240.17358,2000000
4447810.307,411408.7781,2292734.689,29994070858,4118025848,17621730096,144874.3042,8886.449558,51267.26377,1627240.674,176701.8784,863647.8951,29577.84784,2479.979033,13742.68915,87152.43936,5929.140575,36187.58262,35809.47473,5772.992233,22678.29846,2000000
