V1,Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation
0,22239952.453911,2064688.2104783,11501702.5132553,97707790013.1779,9989784185.47238,50533465689.8919,534645.203257614,29753.3086822346,182018.702772557,6748947.16616718,731117.603058021,3607582.21052327,121828.40792575,11244.3156798444,59345.7715336189,414658.462228852,29424.1520860157,177979.678694589,31315.1003314363,2447.686574484,14489.5033409714,1e+07,0,4393.34527426094,4838.39842489254,4393.56396426126,0.0240398536986797,0.0144105577448626,0.015825370423447,4147.31793890232,72.575976373388,2376.91810466534,0.0226936218915537,0.00021615836617294,0.00856152539908482,6596.81201994105,0.0314713056568114,38068.1176767525
1,22230845.5719518,2061931.49734223,11502082.2562119,97512706508.5427,9957093278.86487,50462023714.6358,531217.866905073,30076.680215746,181292.464037282,6738393.6638327,729678.340461383,3609541.42257276,122108.412151455,11120.0510307724,60363.1883478957,413950.889506669,29563.5410509288,176719.455296272,31017.1104328396,2286.63304904199,14228.7110840375,1e+07,1,4386.3696589019,4829.01264746151,4387.20768905847,0.023895531332164,0.0145866534627915,0.0157617081845656,4140.73295800339,72.4351897119226,2373.47935978063,0.0225573815775628,0.000218799801941873,0.00852708412785,6586.64750749594,0.0313032655073547,37889.9130148506
2,22236973.7812207,2062814.02160973,11490820.7723909,97766797780.2252,9988356154.31263,50514183555.5671,532019.314295939,29304.9028598795,183030.49114956,6741199.83756911,730886.241902174,3600494.22034293,121252.457627914,11039.9330333445,59091.519521373,417456.869424709,29835.3699707739,181154.558725318,31913.1239550953,2437.876207452,14024.7372028305,1e+07,2,4396.58735680977,4842.10212344697,4396.04659720547,0.0239249872545712,0.0142062748036836,0.015928408838238,4150.37846482843,72.6315318517045,2378.26120908816,0.0225851879683152,0.000213094122055254,0.00861726918148675,6601.27120576829,0.0314155512718572,38016.8224776255
