Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,mening_times_RBC,mening_times_PLT,mening_times_FFP,enceph_times_RBC,enceph_times_PLT,enceph_times_FFP,AFP_times_RBC,AFP_times_PLT,AFP_times_FFP,n_recip,iter,PSA set,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation,Compare,,,,,Time,310,min,,,
4438785.178,410529.524,2295750.15,49456003433,5352836029,26530025577,101702.9862,6976.836265,38688.31721,1514551.85,162026.3868,795526.7503,13407.09285,1333.392386,7301.365664,44436.875,3976.877536,23252.61369,19918.72396,3030.177117,14008.38659,2.00E+06,0,6,11141.788,13038.85766,11556.14672,0.022912347,0.016994725,0.016852146,10517.84787,195.5828649,6251.875378,0.021629256,0.000254921,0.009117011,16965.30612,0.031001188,47966.49365,0.20%,,,,,,,,,,
4449957.551,413817.632,2301587.727,49470439953,5364638268,26574757572,102519.3077,7169.43663,38859.41749,1511387.598,161613.9427,797322.865,13405.45778,1423.32075,7296.46048,43979.05787,3921.694221,22819.73125,20921.83399,3191.230642,14495.22606,2.00E+06,1,6,11117.05884,12963.77402,11546.27184,0.023038266,0.017325112,0.016883744,10494.50355,194.4566103,6246.533068,0.021748124,0.000259877,0.009134105,16935.49323,0.031142106,48077.59881,,,,,,,,,,,
4442185.288,412624.8549,2298656.471,53599714983,5591630899,27755922865,131602.9553,8110.342734,48303.6882,1465396.597,165403.1969,791691.7143,21975.63092,1933.868601,9919.0986,79486.45505,5270.619688,32366.0359,54240.29302,5118.150234,27644.388,2.00E+06,0,7,12066.06918,13551.36714,12074.84599,0.029625724,0.019655488,0.021013879,11390.3693,203.2705071,6532.491678,0.027966683,0.000294832,0.011368508,18126.13149,0.039630024,57756.15562,0.80%,,,,,,,,,,
4442855.663,412838.6391,2295203.631,53663279612,5621618011,27762947902,132915.5986,8328.939949,48826.33796,1461363.719,166371.5619,785569.2277,21433.19937,1837.399992,10043.36325,79647.50858,5531.82071,33079.33134,55018.99091,5109.566163,28339.289,2.00E+06,1,7,12078.5557,13616.9861,12096.07179,0.029916704,0.020174807,0.021273205,11402.15659,204.2547915,6543.974841,0.028241369,0.000302622,0.011508804,18150.38622,0.040052795,58203.18111,,,,,,,,,,,
4449847.184,413655.761,2298395.679,30370485383,3689652452,16288296999,115526.0038,8311.740279,45294.62695,1211395.567,131309.7189,642471.1266,23040.46451,2123.126932,11316.66714,56253.46209,4737.589746,27049.22573,69936.06274,9864.324051,42466.21752,2.00E+06,0,8,6825.062552,8919.620612,7086.81153,0.025961791,0.020093375,0.019707062,6442.85905,133.7943092,3833.965038,0.024507931,0.000301401,0.010661521,10410.6184,0.035470852,45881.4707,0.70%,,,,,,,,,,
4442915.343,412683.7171,2292190.213,30101629981,3702412031,16500334218,116240.2815,8478.350267,45626.73896,1209109.751,130602.9637,635504.5397,23259.15394,2081.841637,11336.69664,56179.88434,4600.653373,27087.64967,69336.81283,10088.32743,43150.49062,2.00E+06,1,8,6775.197738,8971.548616,7198.501295,0.026163065,0.020544426,0.019905302,6395.786665,134.5732292,3894.389201,0.024697933,0.000308166,0.010768769,10424.74909,0.035774868,46199.61705,,,,,,,,,,,
4446326.08,412155.1836,2298282.86,66670751834,6751267467,34818797044,131721.276,7734.724583,47389.05214,1490564.276,161065.3796,797976.0719,20591.9604,1475.233942,8969.128059,78445.73861,4773.152326,31259.09949,33285.34904,3651.909128,20128.82932,2.00E+06,0,9,14994.57094,16380.40169,15149.91808,0.029624745,0.018766535,0.02061933,14154.87497,245.7060254,8196.105679,0.027965759,0.000281498,0.011155057,22596.68667,0.039402315,61999.00129,0.40%,,,,,,,,,,
4445529.397,414322.8659,2298615.186,66794398905,6851116433,34539035954,132869.2846,8278.95651,47568.36203,1488779.198,162597.8407,791228.5832,20678.61864,1673.076344,9728.613973,78767.84567,4989.797932,31610.63764,34232.86699,3767.18094,20049.12009,2.00E+06,1,9,15025.07192,16535.69474,15026.01922,0.029888293,0.019981896,0.020694356,14183.66789,248.035421,8129.076395,0.028214548,0.000299728,0.011195647,22560.77971,0.039709924,62270.70347,,,,,,,,,,,
4445624.639,413552.7521,2298100.142,47271684281,5328424931,25013102738,103363.9712,6638.677111,37028.39294,1435307.384,153038.8643,759001.5275,15352.40687,1277.391541,6974.353429,14483.37186,1067.28618,5659.764247,33934.05956,5362.591879,21168.31946,2.00E+06,0,10,10633.30536,12884.51087,10884.25273,0.023250719,0.016052794,0.016112611,10037.84026,193.2676631,5888.380726,0.021948679,0.000240792,0.008716922,16119.48864,0.030906393,47025.88209,1.20%,,,,,,,,,,
4445363.438,412949.8233,2300073.661,47164948334,5372593293,25081856789,104914.4122,7027.580225,38079.63009,1433588.934,151280.7648,758524.4984,15611.56407,1353.421885,7235.963217,14002.25511,984.7155908,5511.382446,33815.10886,5658.946716,21558.69032,2.00E+06,1,10,10609.91952,13010.28113,10904.80588,0.023600863,0.017018,0.016555831,10015.76403,195.1542169,5899.499983,0.022279214,0.00025527,0.008956704,16110.41823,0.031491189,47601.60703,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49231.77534,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iter per job,46,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot iters,10000,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tot jobs,217.3913043,,,,,,,,,,,,,,,,,,
