Tot_RBC,Tot_PLT,Tot_FFP,cost_times_RBC,cost_times_PLT,cost_times_FFP,QALY_times_RBC,QALY_times_PLT,QALY_times_FFP,fever_times_RBC,fever_times_PLT,fever_times_FFP,GBS_times_RBC,GBS_times_PLT,GBS_times_FFP,CZS_times_RBC,CZS_times_PLT,CZS_times_FFP,n_recip,iter,cost_RBC_unit,cost_PLT_unit,cost_FFP_unit,QALYL_RBC_unit,QALYL_PLT_unit,QALYL_FFP_unit,cost_RBC_donation,cost_PLT_donation,cost_FFP_donation,QALYL_RBC_donation,QALYL_PLT_donation,QALYL_FFP_donation,cost_per_donation,QALYL_per_donation,NMC_per_donation
22235846,2067487.435,11507304.64,32736327808,3629010191,19887127173,169848.4557,18629.66051,102230.8323,4082560.068,379776.9833,2112583.982,5794.019298,554.2046812,3140.579559,2262.154685,306.346668,1655.312172,10000000,0,1472,1755,1728,0.007638498,0.009010773,0.008883995,695,13,841,0.003605371,6.76E-05,0.004325617,1549,0.007998569,9547.568625
22218950.09,2060899.774,11481383.2,33065688309,3573218600,20525239682,171847.3499,18269.29891,106253.82,4073367.837,378319.4626,2105097.141,5857.011706,495.5388487,2902.883241,2328.253129,296.2253227,1811.540186,10000000,1,1488,1734,1788,0.00773427,0.00886472,0.009254444,702,13,870,0.003650575,6.65E-05,0.004505989,1585,0.00822305,9808.049516
22228585.1,2066065.75,11484869.97,33642953910,3604534651,20258094100,175636.0122,18467.71178,105231.6777,4086943.283,379694.1048,2109312.782,6044.937438,637.8359039,3084.194912,2436.137697,296.7065254,1757.644504,10000000,2,1513,1745,1764,0.007901358,0.008938589,0.009162636,714,13,859,0.003729441,6.70E-05,0.004461287,1586,0.008257768,9843.767707
22224783.58,2064155.181,11485450.01,33441813487,3852453881,20097136430,174492.1899,20054.47909,103848.939,4087169.976,378857.5042,2110780.564,5916.297542,550.0587155,2886.073012,2387.987882,352.575398,1711.649175,10000000,3,1505,1866,1750,0.007851244,0.009715587,0.009041782,710,14,852,0.003705787,7.29E-05,0.004402444,1576,0.008181098,9757.097701
